geneID	txID	gene	transcript
gene-Adgrb3	rna-XM_006495817	1	NA
gene-Phf3	rna-NM_001081080	0.00184556664490683	1
gene-Phf3	rna-NM_001403128	0.00184556664490683	1
gene-Phf3	rna-XM_006495839	0.00184556664490683	1
gene-Phf3	rna-XM_006495840	0.00184556664490683	0.000810736280583318
gene-Phf3	rna-XM_006495837	0.00184556664490683	1
gene-Ptp4a1	rna-NM_001420786	1	NA
gene-Ptp4a1	rna-NM_011200	1	NA
gene-Khdrbs2	rna-XR_373242	1	NA
gene-Khdrbs2	rna-NM_133235	1	NA
gene-Prim2	rna-NM_008922	0	0
gene-Prim2	rna-XM_006495797	0	0
gene-Rab23	rna-NM_001420799	1	NA
gene-Rab23	rna-NM_008999	1	NA
gene-Zfp451	rna-XM_036154651	0.0105963636223677	0
gene-Zfp451	rna-NM_001290700	0.0105963636223677	0
gene-Bend6	rna-NM_177235	1	NA
gene-Bend6	rna-XM_017321224	1	NA
gene-Dst	rna-XM_017314811	0.794890277423668	NA
gene-Dst	rna-XM_036158554	0.794890277423668	NA
gene-Dst	rna-NM_133833	0.794890277423668	NA
gene-Dst	rna-XM_006495685	0.794890277423668	NA
gene-Imp4	rna-NM_001420705	0.967970346726635	NA
gene-Imp4	rna-NM_178601	0.967970346726635	NA
gene-Amer3	rna-XM_006495820	0.758512172322907	NA
gene-Amer3	rna-NM_213727	0.758512172322907	NA
gene-Arhgef4	rna-NM_001368773	1	NA
gene-Arhgef4	rna-NM_183019	1	NA
gene-Gm32790	rna-XR_003947771	0.000531678811548044	1
gene-Gm32790	rna-XR_373307	0.000531678811548044	1
gene-Gm32790	rna-XR_004935996	0.000531678811548044	0.000124692421943435
gene-Gm32790	rna-XR_004935997	0.000531678811548044	0.0135231385695694
gene-Fam168b	rna-NM_001160236	1	NA
gene-Fam168b	rna-NM_174997	1	NA
gene-Arid5a	rna-NM_001172205	0.919675008748354	NA
gene-Arid5a	rna-NM_001172206	0.919675008748354	NA
gene-Arid5a	rna-NR_033310	0.919675008748354	NA
gene-Kansl3	rna-XM_030253628	0.0708724485336427	NA
gene-Kansl3	rna-XM_011238482	0.0708724485336427	NA
gene-Kansl3	rna-XM_017320240	0.0708724485336427	NA
gene-Kansl3	rna-NM_001310513	0.0708724485336427	NA
gene-Kansl3	rna-NM_172652	0.0708724485336427	NA
gene-Kansl3	rna-XM_006495902	0.0708724485336427	NA
gene-Lman2l	rna-XM_006495854	1	NA
gene-Lman2l	rna-XM_030252925	1	NA
gene-Lman2l	rna-NM_001013374	1	NA
gene-Lman2l	rna-NM_001310517	1	NA
gene-Cnnm3	rna-NM_001039551	1	NA
gene-Cnnm3	rna-NM_001331209	1	NA
gene-Cnnm3	rna-NM_053186	1	NA
gene-Ankrd23	rna-NM_153502	1	NA
gene-Ankrd23	rna-NM_001310521	1	NA
gene-Ankrd39	rna-NM_001310533	1	NA
gene-Ankrd39	rna-NM_026241	1	NA
gene-Ankrd39	rna-NR_132321	1	NA
gene-Sema4c	rna-NM_001126047	1	NA
gene-Sema4c	rna-XM_036162919	1	NA
gene-Gm33533	rna-XR_373319	1	NA
gene-Gm33533	rna-XR_003948647	1	NA
gene-Zap70	rna-NM_009539	1	NA
gene-Zap70	rna-NM_001289765	1	NA
gene-Tmem131	rna-NM_018872	0.311648314527581	NA
gene-Tmem131	rna-XM_006496150	0.311648314527581	NA
gene-Inpp4a	rna-XM_006496006	0.917988728575089	NA
gene-Inpp4a	rna-XM_006496011	0.917988728575089	NA
gene-Inpp4a	rna-NM_030266	0.917988728575089	NA
gene-Inpp4a	rna-NM_001374629	0.917988728575089	NA
gene-Inpp4a	rna-NM_001374630	0.917988728575089	NA
gene-Unc50	rna-NM_001356528	1	NA
gene-Unc50	rna-NM_026123	1	NA
gene-Mgat4a	rna-NM_001290801	0.0345562291291406	0.0295040137125993
gene-Mgat4a	rna-NM_173870	0.0345562291291406	1
gene-Mgat4a	rna-XM_006496024	0.0345562291291406	1
gene-Mgat4a	rna-XM_017320965	0.0345562291291406	1
gene-Mgat4a	rna-XM_011238526	0.0345562291291406	0.0527131636593012
gene-Cracdl	rna-NM_001403619	0.706413975442136	NA
gene-Cracdl	rna-NM_001403620	0.706413975442136	NA
gene-Cracdl	rna-NM_028096	0.706413975442136	NA
gene-Tsga10	rna-NM_207228	1	NA
gene-Tsga10	rna-XR_003954349	1	NA
gene-Tsga10	rna-XM_006495823	1	NA
gene-Tsga10	rna-XM_036163236	1	NA
gene-Tsga10	rna-XR_001783692	1	NA
gene-Tsga10	rna-NR_110976	1	NA
gene-Tsga10	rna-XM_017319581	1	NA
gene-Lipt1	rna-NM_001377034	1	NA
gene-Lipt1	rna-NM_001037918	1	NA
gene-Lipt1	rna-NM_001377033	1	NA
gene-Mitd1	rna-XM_017322349	1	NA
gene-Mitd1	rna-NM_026913	1	NA
gene-Mrpl30	rna-NM_001356482	1	NA
gene-Mrpl30	rna-NM_027098	1	NA
gene-Txndc9	rna-NM_001417937	1	NA
gene-Txndc9	rna-NM_001417936	1	NA
gene-Txndc9	rna-NM_172054	1	NA
gene-Txndc9	rna-NM_001417938	1	NA
gene-Eif5b	rna-XM_036164315	0.898950313112636	NA
gene-Eif5b	rna-NM_198303	0.898950313112636	NA
gene-Rev1	rna-XM_036152480	0.656848112151216	NA
gene-Rev1	rna-XM_006496161	0.656848112151216	NA
gene-Rev1	rna-NM_019570	0.656848112151216	NA
gene-Rev1	rna-XM_006496154	0.656848112151216	NA
gene-Aff3	rna-NM_001290814	1	NA
gene-Aff3	rna-XM_011238443	1	NA
gene-Aff3	rna-XM_011238444	1	NA
gene-Aff3	rna-XM_011238447	1	NA
gene-Gm16150	rna-XR_003948652	1	NA
gene-Gm16150	rna-XR_003948653	1	NA
gene-Tbc1d8	rna-NM_018775	1	NA
gene-Tbc1d8	rna-XM_017321765	1	NA
gene-Tbc1d8	rna-XR_004933825	1	NA
gene-Tbc1d8	rna-NM_001357522	1	NA
gene-Rnf149	rna-XM_036153154	1	NA
gene-Rnf149	rna-XR_373259	1	NA
gene-Rnf149	rna-NM_001033135	1	NA
gene-Map4k4	rna-XM_006496041	0.000133538952305161	0.913495240975936
gene-Map4k4	rna-NM_001252200	0.000133538952305161	1
gene-Map4k4	rna-NM_001252201	0.000133538952305161	1.33873120336773e-05
gene-Il1r1	rna-XM_006495723	1	NA
gene-Il1r1	rna-NM_001123382	1	NA
gene-Il1rl2	rna-NM_001356478	1	NA
gene-Il1rl2	rna-XM_036165980	1	NA
gene-Gm29260	rna-XR_004936043	0.702083271093844	NA
gene-Gm29260	rna-XR_003947782	0.702083271093844	NA
gene-Gm29260	rna-XR_004936041	0.702083271093844	NA
gene-Gm29260	rna-XR_004936038	0.702083271093844	NA
gene-Gm29260	rna-XR_003947789	0.702083271093844	NA
gene-Gm29260	rna-XR_373363	0.702083271093844	NA
gene-Gm29260	rna-XR_001778899	0.702083271093844	NA
gene-Gm28175	rna-XR_003947791	1	NA
gene-Gm28175	rna-XR_004936044	1	NA
gene-Gm28175	rna-XR_004936045	1	NA
gene-Gm28175	rna-XR_004936046	1	NA
gene-Gm28175	rna-XR_004936049	1	NA
gene-Gm28175	rna-XR_004936050	1	NA
gene-Gm28175	rna-XR_004936054	1	NA
gene-Tgfbrap1	rna-NM_001357299	0.361060509435146	NA
gene-Tgfbrap1	rna-NM_001013025	0.361060509435146	NA
gene-Tgfbrap1	rna-XM_006496300	0.361060509435146	NA
gene-Uxs1	rna-NM_001368287	1	NA
gene-Uxs1	rna-NM_026430	1	NA
gene-Tpp2	rna-XR_001784011	1	NA
gene-Tpp2	rna-NM_001310540	1	NA
gene-Tpp2	rna-NM_009418	1	NA
gene-Tex30	rna-NM_001356297	1	NA
gene-Tex30	rna-XM_006496315	1	NA
gene-Poglut2	rna-XR_003946583	1	NA
gene-Poglut2	rna-NM_023645	1	NA
gene-Bivm	rna-XM_036165121	0.749958215207465	NA
gene-Bivm	rna-XM_030254293	0.749958215207465	NA
gene-Bivm	rna-XM_006496004	0.749958215207465	NA
gene-Bivm	rna-NM_001357048	0.749958215207465	NA
gene-Bivm	rna-NM_144558	0.749958215207465	NA
gene-Gulp1	rna-XM_006496278	1	NA
gene-Gulp1	rna-NM_028450	1	NA
gene-Dnah7b	rna-XM_006495915	0.071753304677752	NA
gene-Dnah7b	rna-XR_373250	0.071753304677752	NA
gene-Dnah7b	rna-XM_030253646	0.071753304677752	NA
gene-Dnah7b	rna-XM_006495927	0.071753304677752	NA
gene-Dnah7b	rna-XM_030253671	0.071753304677752	NA
gene-Dnah7c	rna-NM_001310335	1	NA
gene-Dnah7c	rna-XM_006496387	1	NA
gene-Slc39a10	rna-NM_172653	1	NA
gene-Slc39a10	rna-NM_001356417	1	NA
gene-Nabp1	rna-NM_001310548	1	NA
gene-Nabp1	rna-NM_001310549	1	NA
gene-Nabp1	rna-NM_028696	1	NA
gene-Myo1b	rna-NM_001161817	1	NA
gene-Myo1b	rna-NM_010863	1	NA
gene-Myo1b	rna-XM_006495764	1	NA
gene-Stat1	rna-XM_036163078	1	NA
gene-Stat1	rna-XR_003954297	1	NA
gene-Stat1	rna-XM_030252467	1	NA
gene-Stat1	rna-XM_017319464	1	NA
gene-Gls	rna-XM_017316236	0.461509582196273	NA
gene-Gls	rna-NM_001113383	0.461509582196273	NA
gene-Gls	rna-XM_006495704	0.461509582196273	NA
gene-Nab1	rna-NM_001420347	1	NA
gene-Nab1	rna-NM_008667	1	NA
gene-Nemp2	rna-XR_003954987	1	NA
gene-Nemp2	rna-NM_001142647	1	NA
gene-Nemp2	rna-NR_024590	1	NA
gene-Mfsd6	rna-NM_001403607	0.887715066496165	NA
gene-Mfsd6	rna-NM_001403611	0.887715066496165	NA
gene-Mfsd6	rna-NM_001357464	0.887715066496165	NA
gene-Mfsd6	rna-NM_178081	0.887715066496165	NA
gene-Inpp1	rna-XM_011238442	0.686265644706173	NA
gene-Inpp1	rna-NM_008384	0.686265644706173	NA
gene-1700019D03Rik	rna-NM_144953	1	NA
gene-1700019D03Rik	rna-NM_001368280	1	NA
gene-Pms1	rna-XM_036164395	0.858002051900472	NA
gene-Pms1	rna-NM_153556	0.858002051900472	NA
gene-Osgepl1	rna-NM_001285839	1	NA
gene-Osgepl1	rna-NR_104360	1	NA
gene-Osgepl1	rna-NR_151661	1	NA
gene-Hecw2	rna-XM_006496066	1	NA
gene-Hecw2	rna-XM_006496067	1	NA
gene-Hecw2	rna-NM_001001883	1	NA
gene-Ankrd44	rna-XM_030254991	1	NA
gene-Ankrd44	rna-NM_001081433	1	NA
gene-Sf3b1	rna-NM_031179	0.059364644657571	NA
gene-Sf3b1	rna-XM_036154457	0.059364644657571	NA
gene-Sf3b1	rna-XM_036154455	0.059364644657571	NA
gene-Sf3b1	rna-XR_003947332	0.059364644657571	NA
gene-Coq10b	rna-NM_001039710	0.286349234926766	NA
gene-Coq10b	rna-NM_026424	0.286349234926766	NA
gene-Hspd1	rna-NM_001356512	0.510248498394926	NA
gene-Hspd1	rna-NM_010477	0.510248498394926	NA
gene-Rftn2	rna-NM_001356288	1	NA
gene-Rftn2	rna-NM_028713	1	NA
gene-Satb2	rna-NM_001420844	0.385892434211336	NA
gene-Satb2	rna-NM_139146	0.385892434211336	NA
gene-9130024F11Rik	rna-NR_024325	1	NA
gene-9130024F11Rik	rna-NR_024326	1	NA
gene-Gm38484	rna-XR_373424	1	NA
gene-Gm38484	rna-XR_865432	1	NA
gene-Tyw5	rna-XM_036153369	0.908008456970587	NA
gene-Tyw5	rna-NM_001037742	0.908008456970587	NA
gene-Tyw5	rna-NM_001302964	0.908008456970587	NA
gene-Spats2l	rna-XM_006496210	1	NA
gene-Spats2l	rna-XM_006496211	1	NA
gene-Spats2l	rna-XM_017322122	1	NA
gene-Spats2l	rna-NM_144882	1	NA
gene-Kctd18	rna-NM_001159864	0.246319647258566	NA
gene-Kctd18	rna-XM_017321676	0.246319647258566	NA
gene-Kctd18	rna-XM_017321677	0.246319647258566	NA
gene-Kctd18	rna-XM_006496135	0.246319647258566	NA
gene-Sgo2a	rna-NM_001177867	1	NA
gene-Sgo2a	rna-NM_199007	1	NA
gene-Aox4	rna-NM_023631	0.740211686024896	NA
gene-Aox4	rna-XM_036153692	0.740211686024896	NA
gene-Aox4	rna-XM_006496287	0.740211686024896	NA
gene-Bzw1	rna-NM_025824	0.0257987018870144	0
gene-Bzw1	rna-XM_017322066	0.0257987018870144	0
gene-Clk1	rna-NM_001042634	0.159447081692862	NA
gene-Clk1	rna-NR_027853	0.159447081692862	NA
gene-Clk1	rna-NR_027854	0.159447081692862	NA
gene-Ppil3	rna-NM_001285827	1	NA
gene-Ppil3	rna-NM_027351	1	NA
gene-Ppil3	rna-XM_030242882	1	NA
gene-Nif3l1	rna-NM_022988	1	NA
gene-Nif3l1	rna-XM_006496186	1	NA
gene-Orc2	rna-NM_001271526	1	NA
gene-Orc2	rna-NM_008765	1	NA
gene-Cflar	rna-XM_011238421	1.45726198403959e-13	1
gene-Cflar	rna-XM_011238420	1.45726198403959e-13	1
gene-Cflar	rna-NR_149257	1.45726198403959e-13	1
gene-Cflar	rna-NR_149258	1.45726198403959e-13	1
gene-Cflar	rna-NM_009805	1.45726198403959e-13	1
gene-Cflar	rna-NM_207653	1.45726198403959e-13	2.20502821129798e-14
gene-Cflar	rna-NM_001293805	1.45726198403959e-13	0.125084944632974
gene-Trak2	rna-XM_006496280	1	NA
gene-Trak2	rna-NM_172406	1	NA
gene-Tmem237	rna-NM_001037812	1	NA
gene-Tmem237	rna-NM_001033449	1	NA
gene-Gm973	rna-XM_006496100	1	NA
gene-Gm973	rna-XM_030255096	1	NA
gene-Gm973	rna-NM_001404390	1	NA
gene-Bmpr2	rna-XM_006495633	0.119002568496307	NA
gene-Bmpr2	rna-NM_007561	0.119002568496307	NA
gene-Ica1l	rna-XM_011238597	0.081859880765258	NA
gene-Ica1l	rna-NM_001316694	0.081859880765258	NA
gene-Ica1l	rna-NM_001357296	0.081859880765258	NA
gene-Ica1l	rna-NM_027407	0.081859880765258	NA
gene-Ica1l	rna-XM_030242894	0.081859880765258	NA
gene-Ica1l	rna-XM_017312256	0.081859880765258	NA
gene-Ica1l	rna-NM_001316695	0.081859880765258	NA
gene-Wdr12	rna-XM_017321861	1	NA
gene-Wdr12	rna-NM_021312	1	NA
gene-Wdr12	rna-NM_001199060	1	NA
gene-Carf	rna-XM_006495975	0.573437590500535	NA
gene-Carf	rna-XM_006495977	0.573437590500535	NA
gene-Carf	rna-XM_017320602	0.573437590500535	NA
gene-Carf	rna-XM_030254084	0.573437590500535	NA
gene-Carf	rna-XM_036164953	0.573437590500535	NA
gene-Carf	rna-XM_036164961	0.573437590500535	NA
gene-Carf	rna-NM_139150	0.573437590500535	NA
gene-Nbeal1	rna-XM_006496033	0	4.88431364308293e-89
gene-Nbeal1	rna-XM_030254693	0	1
gene-Nbeal1	rna-XM_011238527	0	0.775458145825974
gene-Nbeal1	rna-XM_006496037	0	1
gene-Nbeal1	rna-XM_030254700	0	1
gene-Cyp20a1	rna-NM_001313721	1	NA
gene-Cyp20a1	rna-NM_030013	1	NA
gene-Abi2	rna-NM_001404705	0.903929141292686	NA
gene-Abi2	rna-NM_001404707	0.903929141292686	NA
gene-Abi2	rna-NM_001404708	0.903929141292686	NA
gene-Abi2	rna-NM_001404711	0.903929141292686	NA
gene-Abi2	rna-NM_001404715	0.903929141292686	NA
gene-Raph1	rna-XM_030243566	0.152122219651211	NA
gene-Raph1	rna-NM_001045513	0.152122219651211	NA
gene-Raph1	rna-XM_006496322	0.152122219651211	NA
gene-Raph1	rna-XM_006496324	0.152122219651211	NA
gene-Pard3b	rna-NM_001081050	1	NA
gene-Pard3b	rna-XM_006496299	1	NA
gene-Nrp2	rna-NM_001077407	0.149688525763288	NA
gene-Nrp2	rna-NM_001077403	0.149688525763288	NA
gene-Nrp2	rna-NM_001077404	0.149688525763288	NA
gene-Nrp2	rna-NM_001077405	0.149688525763288	NA
gene-Ino80d	rna-NM_001406709	1	NA
gene-Ino80d	rna-NM_001406714	1	NA
gene-Ino80d	rna-NM_001081436	1	NA
gene-Ino80d	rna-NM_001114609	1	NA
gene-Ino80d	rna-NM_001406704	1	NA
gene-Ino80dos	rna-NR_045915	1	NA
gene-Ino80dos	rna-NR_045914	1	NA
gene-Ndufs1	rna-NM_001160039	1	NA
gene-Ndufs1	rna-NM_001160040	1	NA
gene-Ndufs1	rna-NM_145518	1	NA
gene-Zdbf2	rna-XM_030243195	9.74159418338897e-06	0.987730231376334
gene-Zdbf2	rna-XM_030243197	9.74159418338897e-06	2.41485566923541e-06
gene-Zdbf2	rna-XM_011238606	9.74159418338897e-06	1
gene-Zdbf2	rna-XM_030243196	9.74159418338897e-06	1
gene-Zdbf2	rna-XM_036153849	9.74159418338897e-06	1
gene-Adam23	rna-XM_006495969	0.773043453410689	NA
gene-Adam23	rna-XM_006495970	0.773043453410689	NA
gene-Adam23	rna-NM_011780	0.773043453410689	NA
gene-Fastkd2	rna-XM_006496313	1	NA
gene-Fastkd2	rna-NM_172422	1	NA
gene-Klf7	rna-XM_006496351	1.26043752031276e-06	1
gene-Klf7	rna-XM_030243769	1.26043752031276e-06	0.0124484976873795
gene-Klf7	rna-NM_033563	1.26043752031276e-06	8.80684023806612e-08
gene-Creb1	rna-NM_133828	0.0143628440386131	1
gene-Creb1	rna-XM_017314080	0.0143628440386131	1
gene-Creb1	rna-XM_017314099	0.0143628440386131	0.00900822390361149
gene-Creb1	rna-XR_004937542	0.0143628440386131	0.788952642640942
gene-Creb1	rna-XM_006495655	0.0143628440386131	0.0480470288286279
gene-Mettl21a	rna-NM_001368284	1	NA
gene-Mettl21a	rna-NM_025964	1	NA
gene-Fzd5	rna-NM_001042659	0.124891575952882	NA
gene-Fzd5	rna-NM_022721	0.124891575952882	NA
gene-Plekhm3	rna-XM_006495982	1	NA
gene-Plekhm3	rna-NM_001039493	1	NA
gene-Pikfyve	rna-XM_006495776	0.0481851224319257	0.0949907627363731
gene-Pikfyve	rna-XM_006495777	0.0481851224319257	1
gene-Pikfyve	rna-XM_006495782	0.0481851224319257	1
gene-Pikfyve	rna-XM_030252267	0.0481851224319257	1
gene-Pikfyve	rna-XM_030252271	0.0481851224319257	1
gene-Pikfyve	rna-XM_036162779	0.0481851224319257	1
gene-Pikfyve	rna-NM_001310624	0.0481851224319257	1
gene-Pikfyve	rna-NM_011086	0.0481851224319257	1
gene-Pth2r	rna-NM_139270	0.753967193089965	NA
gene-Pth2r	rna-XM_017319687	0.753967193089965	NA
gene-Map2	rna-XM_006495762	3.13031986479104e-09	1
gene-Map2	rna-NM_008632	3.13031986479104e-09	1.02752934045381e-06
gene-Map2	rna-NM_001310634	3.13031986479104e-09	1.46446288476252e-10
gene-Unc80	rna-NM_175510	0.533088338022113	NA
gene-Unc80	rna-XM_036165859	0.533088338022113	NA
gene-Unc80	rna-XM_036165830	0.533088338022113	NA
gene-Unc80	rna-XM_036165847	0.533088338022113	NA
gene-Unc80	rna-XM_036165849	0.533088338022113	NA
gene-Unc80	rna-XM_036165851	0.533088338022113	NA
gene-Unc80	rna-XM_036165864	0.533088338022113	NA
gene-Unc80	rna-XM_036165866	0.533088338022113	NA
gene-Rpe	rna-XM_030242120	0.863317460692777	NA
gene-Rpe	rna-XM_030242101	0.863317460692777	NA
gene-Rpe	rna-NM_025683	0.863317460692777	NA
gene-Rpe	rna-XM_006496191	0.863317460692777	NA
gene-Kansl1l	rna-NM_001368830	0.156794417441003	NA
gene-Kansl1l	rna-XM_036153365	0.156794417441003	NA
gene-Kansl1l	rna-XM_036153363	0.156794417441003	NA
gene-Kansl1l	rna-XM_036153352	0.156794417441003	NA
gene-Kansl1l	rna-XM_006496241	0.156794417441003	NA
gene-Kansl1l	rna-XM_017322311	0.156794417441003	NA
gene-Kansl1l	rna-XM_017322317	0.156794417441003	NA
gene-Kansl1l	rna-XM_011238581	0.156794417441003	NA
gene-Lancl1	rna-NM_001190985	1	NA
gene-Lancl1	rna-NM_021295	1	NA
gene-Cps1	rna-XM_011238500	1	NA
gene-Cps1	rna-NM_001080809	1	NA
gene-Erbb4	rna-XM_006495693	0.0285490624113467	1
gene-Erbb4	rna-XM_006495694	0.0285490624113467	0.563494278334402
gene-Erbb4	rna-NM_010154	0.0285490624113467	0.00768951391654336
gene-Ikzf2	rna-NM_001402852	1	NA
gene-Ikzf2	rna-NM_001402854	1	NA
gene-Ikzf2	rna-NM_001402856	1	NA
gene-Ikzf2	rna-XM_036164623	1	NA
gene-Vwc2l	rna-XR_373257	0.136983590127369	NA
gene-Vwc2l	rna-NM_001310658	0.136983590127369	NA
gene-Vwc2l	rna-NM_177164	0.136983590127369	NA
gene-Bard1	rna-NM_001419960	1	NA
gene-Bard1	rna-NM_007525	1	NA
gene-Fn1	rna-NM_001276408	0.850443649274689	NA
gene-Fn1	rna-NM_010233	0.850443649274689	NA
gene-Fn1	rna-XM_006495699	0.850443649274689	NA
gene-Tmem169	rna-NM_001418282	0.379516148645464	NA
gene-Tmem169	rna-NM_001418283	0.379516148645464	NA
gene-Tmem169	rna-NM_001418284	0.379516148645464	NA
gene-Tmem169	rna-NM_175564	0.379516148645464	NA
gene-Xrcc5	rna-NM_001357519	1	NA
gene-Xrcc5	rna-NM_009533	1	NA
gene-Marchf4	rna-NM_001045533	1	NA
gene-Marchf4	rna-XR_004942942	1	NA
