"","Gene","Event_Type","Chromosome","Coordinates","Strand","dPSI_PE-Ctrl","p-val_PE-Ctrl","-log10(p-adj PE-Ctrl)","regulation"
"59","3110053B16Rik","SE","NC_000078.7","20927096-20952271:20952331-20964760","-",0.0468638352,0.3176823177,0.498006957470713,"not significant"
"60","3110053B16Rik","SE","NC_000078.7","20927096-20952271:20952331-20970843","-",-0.0064802386,0.3176823177,0.498006957470713,"not significant"
"61","3110053B16Rik","SE","NC_000078.7","20952331-20952534:20952660-20964760","-",-0.0326301343,0.3176823177,0.498006957470713,"not significant"
"62","3110053B16Rik","SE","NC_000078.7","20952331-20964760:20964842-20970843","-",0.0025531123,0.3176823177,0.498006957470713,"not significant"
"63","3110053B16Rik","SE","NC_000078.7","20964842-20965749:20965792-20970843","-",-0.0250650708,0.3176823177,0.498006957470713,"not significant"
"64","3300002I08Rik","SE","NC_000068.8","150153138-150184954:150185075-150186229","-",0,0.3266733267,0.485886324783572,"not significant"
"65","3300002I08Rik","SE","NC_000068.8","150170366-150184954:150185075-150186229","-",0.0241010717,0.3266733267,0.485886324783572,"not significant"
"66","3300002I08Rik","SE","NC_000068.8","150185075-150186229:150186289-150186500","-",-0.0170009235,0.3266733267,0.485886324783572,"not significant"
"67","3930402G23Rik","SE","NC_000074.7","10976995-10977285:10977521-10978020","-",-0.25,0.0999000999,1.00043407747975,"skipped exon"
"68","4833420G17Rik","SE","NC_000079.7","119599655-119601101:119601226-119602547","+",-0.0366360204,0.2045454545,0.689210167143372,"not significant"
"69","4833420G17Rik","SE","NC_000079.7","119599655-119601101:119601226-119602610","+",-0.1012328044,0.2045454545,0.689210167143372,"not significant"
"70","4833420G17Rik","SE","NC_000079.7","119601226-119601816:119601923-119602547","+",0.2530607662,0.2045454545,0.689210167143372,"not significant"
"71","4833420G17Rik","SE","NC_000079.7","119601226-119601816:119601923-119602610","+",0.1838716913,0.2045454545,0.689210167143372,"not significant"
"72","4833420G17Rik","SE","NC_000079.7","119601923-119602194:119602485-119602610","+",0.070720946,0.2045454545,0.689210167143372,"not significant"
"73","4833439L19Rik","SE","NC_000079.7","54704464-54707011:54707137-54712995","-",0.1426745338,0.1975524476,0.704317585205066,"not significant"
"74","4833439L19Rik","SE","NC_000079.7","54707137-54709506:54709684-54712995","-",-0.0888449441,0.1975524476,0.704317585205066,"not significant"
"75","4833439L19Rik","SE","NC_000079.7","54709684-54711998:54712085-54712328","-",0.0095253712,0.3896103896,0.409369470464401,"not significant"
"76","4833439L19Rik","SE","NC_000079.7","54709684-54711998:54712085-54712995","-",-0.008176022,0.3896103896,0.409369470464401,"not significant"
"77","4833439L19Rik","SE","NC_000079.7","54709684-54712328:54712434-54712995","-",0.0003668469,0.3896103896,0.409369470464401,"not significant"
"78","4833439L19Rik","SE","NC_000079.7","54712085-54712328:54712434-54712995","-",0.0197474389,0.3896103896,0.409369470464401,"not significant"
"79","4921504A21Rik","SE","NC_000071.7","19408923-19412083:19412170-19415226","-",0.0261964474,0.2092907093,0.679250050157726,"not significant"
"80","4921524J17Rik","SE","NC_000074.7","86138924-86153489:86153585-86159288","-",-0.0136926762,0.2677322677,0.572299283502872,"not significant"
"81","4930444P10Rik","SE","NC_000067.7","16151217-16151892:16152734-16163198","-",0.6917830945,0.047952048,1.31919283966944,"included exon"
"82","4930445E18Rik","SE","NC_000081.7","25286634-25289828:25289932-25290161","-",0.1845011419,0.1923076923,0.716003343652171,"not significant"
"83","4930447C04Rik","SE","NC_000078.7","72936620-72939335:72939430-72939578","-",-0.0294831126,0.2842157842,0.546351806772348,"not significant"
"84","4930447C04Rik","SE","NC_000078.7","72939753-72941758:72941819-72945261","-",-0.1424593863,0.2842157842,0.546351806772348,"not significant"
"85","4930447C04Rik","SE","NC_000078.7","72956587-72956678:72956865-72959959","-",0,0.2842157842,0.546351806772348,"not significant"
"86","4930447C04Rik","SE","NC_000078.7","72960048-72962130:72962256-72963448","-",0,0.2842157842,0.546351806772348,"not significant"
"87","4930481A15Rik","SE","NC_000085.7","5457111-5465036:5465140-5465635","+",-0.4402543264,0.1028971029,0.987596852761919,"not significant"
"88","4930503L19Rik","SE","NC_000084.7","70589615-70591388:70591519-70597033","-",-0.1344268345,0.245004995,0.610825061436187,"not significant"
"89","4930523C07Rik","SE","NC_000067.7","159872323-159898270:159898373-159902601","+",0.0319182764,0.2287712288,0.640598595084812,"not significant"
"90","4930570G19Rik","SE","NC_000069.7","156256874-156257492:156257580-156267113","-",-0.0725622901,0.2087912088,0.680287791349979,"not significant"
"91","4930590J08Rik","SE","NC_000072.7","91881337-91883382:91883518-91891144","+",0,0.2662337662,0.574736864171809,"not significant"
"92","4930590J08Rik","SE","NC_000072.7","91922488-91926269:91926364-91926912","+",0.25,0.2662337662,0.574736864171809,"not significant"
"93","4931406C07Rik","SE","NC_000075.7","15205829-15205982:15206055-15209139","-",-0.0026616996,0.3756243756,0.425246232579841,"not significant"
"94","4931406C07Rik","SE","NC_000075.7","15206055-15209139:15209237-15212663","-",0.0186225096,0.3500874126,0.455823504021134,"not significant"
"95","4931414P19Rik","SE","NC_000080.7","54823454-54828579:54828896-54832571","-",-0.0320921797,0.3256743257,0.487216477377142,"not significant"
"96","4933412E12Rik","SE","NC_000076.7","116786597-116790418:116790630-116791433","+",-0.1003936755,0.1983016983,0.702673566383904,"not significant"
"97","4933427D14Rik_and_gene-Gm57849","SE","NC_000077.7","72071452-72072660:72072972-72080374","-",0.0045896077,0.3926073926,0.406041527112069,"not significant"
"98","4933427D14Rik_and_gene-Gm57849","SE","NC_000077.7","72080584-72082104:72082170-72082245","-",0.0002674194,0.3926073926,0.406041527112069,"not significant"
"99","4933430I17Rik","SE","NC_000070.7","62443633-62444019:62444115-62450489","+",0,0.2387612388,0.622036176460676,"not significant"
"100","4933430I17Rik","SE","NC_000070.7","62450897-62454748:62454805-62457100","+",0.1057835749,0.2387612388,0.622036176460676,"not significant"
"101","4933430I17Rik","SE","NC_000070.7","62461020-62461365:62461452-62461692","+",0,0.2387612388,0.622036176460676,"not significant"
"102","4933430I17Rik","SE","NC_000070.7","62464378-62465502:62465565-62465770","+",0.2482951476,0.2387612388,0.622036176460676,"not significant"
"103","5031434O11Rik","SE","NC_000069.7","51469585-51470932:51471022-51471152","+",0.75,0.0144855145,1.83906607481005,"included exon"
"104","5033421B08Rik","SE","NC_000078.7","8561464-8571145:8571232-8622210","+",0.25,0.1548451548,0.810102379435673,"not significant"
"105","6030458C11Rik","SE","NC_000081.7","12821639-12823647:12823792-12824553","-",0,0.3751248751,0.42582413616793,"not significant"
"106","6330409D20Rik","SE","NC_000068.8","32627643-32630462:32630644-32631814","-",0.0307786697,0.2532467532,0.596456113890141,"not significant"
"107","6330525I24Rik","SE","NC_000084.7","14106342-14112912:14113059-14121717","+",0,0.1313686314,0.88150832454984,"not significant"
"108","6330525I24Rik","SE","NC_000084.7","14106342-14112950:14113059-14121717","+",0,0.1313686314,0.88150832454984,"not significant"
"109","6430548M08Rik","SE","NC_000074.7","120883113-120884207:120884236-120886698","+",-0.0468240344,0.2622377622,0.581304769799881,"not significant"
"110","6430550D23Rik","SE","NC_000068.8","155845405-155845601:155845905-155849800","-",-0.3191649288,0.2417582418,0.616618711423873,"not significant"
"111","6820408C15Rik_and_gene-Gm27343","SE","NC_000068.8","152270944-152275956:152276068-152279405","+",0.0617596463,0.2262737263,0.64536587108004,"not significant"
"112","6820408C15Rik_and_gene-Gm27343","SE","NC_000068.8","152279563-152281530:152281629-152282685","+",0.1298667285,0.2262737263,0.64536587108004,"not significant"
"113","9430038I01Rik","SE","NC_000073.7","136978080-136978662:136978846-136989100","-",-0.0332279941,0.3161838162,0.500060363103715,"not significant"
"114","9430038I01Rik","SE","NC_000073.7","136978080-136978684:136978846-136989100","-",0.0374774897,0.3161838162,0.500060363103715,"not significant"
"115","9430038I01Rik","SE","NC_000073.7","136989430-136990648:136990707-137012369","-",-0.0049699214,0.3161838162,0.500060363103715,"not significant"
"116","9430053O09Rik","SE","NC_000082.7","77210932-77216995:77217347-77217987","-",0.073785291,0.2827172827,0.548647641981577,"not significant"
"117","9430053O09Rik","SE","NC_000082.7","77210932-77216999:77217347-77217987","-",-0.0431048791,0.2827172827,0.548647641981577,"not significant"
"118","9430091E24Rik","SE","NC_000074.7","111864184-111870234:111870356-111872036","-",0.0381185116,0.2542457542,0.594746290884697,"not significant"
"119","9630009A06Rik","SE","NC_000081.7","30949854-30954362:30958061-30961775","-",0,0.0789210789,1.10280698630487,"not significant"
"120","9930111H07Rik_and_gene-Cab39","SE","NC_000067.7","85721542-85723078:85723194-85746078","+",0.021448608,0.4205794206,0.3761519816224,"not significant"
"121","9930111H07Rik_and_gene-Cab39","SE","NC_000067.7","85721542-85723082:85723194-85746078","+",0.0127444466,0.4205794206,0.3761519816224,"not significant"
"122","9930111H07Rik_and_gene-Cab39","SE","NC_000067.7","85721542-85746078:85746234-85763044","+",-0.0025900079,0.4205794206,0.3761519816224,"not significant"
"123","9930111H07Rik_and_gene-Cab39","SE","NC_000067.7","85723194-85731685:85732014-85746078","+",-0.0528693613,0.4205794206,0.3761519816224,"not significant"
"124","9930111H07Rik_and_gene-Cab39","SE","NC_000067.7","85723194-85746078:85746234-85763044","+",-0.0064046688,0.4205794206,0.3761519816224,"not significant"
"125","A330102I10Rik","SE","NC_000079.7","29207195-29207614:29207706-29212405","+",-0.0544437273,0.2002997003,0.698319700522468,"not significant"
"126","A430005L14Rik","SE","NC_000070.7","154041779-154044206:154044319-154044988","+",0.0133880067,0.2882117882,0.540288260005332,"not significant"
"127","A430046D13Rik","SE","NC_000076.7","128335395-128337504:128337558-128338278","+",0.0559796894,0.2147852148,0.667995617533818,"not significant"
"128","A630001G21Rik","SE","NC_000067.7","85646089-85646746:85646850-85650819","-",0,0.1718281718,0.764905630642974,"not significant"
"129","A630039O03Rik","SE","NC_000069.7","149150757-149157729:149157821-149159105","+",0,0.1863136863,0.729755241366515,"not significant"
"130","A730056A06Rik","SE","NC_000073.7","72966190-72982176:72982253-73025265","-",0.3619941335,0.0704295704,1.15224496067026,"included exon"
"131","A730060N03Rik","SE","NC_000081.7","78004620-78007188:78009071-78026934","+",-0.0300864857,0.2377622378,0.62385712035383,"not significant"
"132","A730060N03Rik","SE","NC_000081.7","78004620-78008945:78009071-78026934","+",0,0.2377622378,0.62385712035383,"not significant"
"133","A830018L16Rik","SE","NC_000067.7","11484861-11582142:11582289-11588802","+",-0.0161818412,0.3156843157,0.500746994839337,"not significant"
"134","A830018L16Rik","SE","NC_000067.7","11588933-11615378:11615506-11633187","+",-0.0691628351,0.3156843157,0.500746994839337,"not significant"
"135","A830018L16Rik","SE","NC_000067.7","11868790-11900039:11900115-12003768","+",0.2407923622,0.2202797203,0.657025483635479,"not significant"
"136","A830018L16Rik","SE","NC_000067.7","11900115-12003768:12003815-12021187","+",0.3999092833,0.2202797203,0.657025483635479,"not significant"
"137","AA387200","SE","NC_000068.8","151918789-151921870:151922614-151923145","-",-0.0024338858,0.2962037962,0.528409379784603,"not significant"
"138","AA387200","SE","NC_000068.8","151918789-151922507:151922614-151923145","-",0.0967318892,0.2892107892,0.538785509432065,"not significant"
"139","AA986860","SE","NC_000067.7","130659960-130665239:130665424-130668740","+",-0.25,0.1683316683,0.773834172353665,"not significant"
"140","AB010352","SE","NC_000071.7","110014678-110017352:110017479-110027936","+",0.0618009962,0.2412587413,0.617516942317517,"not significant"
"141","AB010352","SE","NC_000071.7","110028062-110028253:110028313-110029629","+",0.1611746486,0.2412587413,0.617516942317517,"not significant"
"142","AI480526","SE","NC_000071.7","123272493-123272687:123272780-123276018","-",0.0434735712,0.1343656344,0.871711793029816,"not significant"
"143","AI987944","SE","NC_000073.7","41024798-41025915:41025972-41026170","-",0,0.3286713287,0.483238179491459,"not significant"
"144","AI987944","SE","NC_000073.7","41026296-41037532:41037679-41042651","-",0.1141896905,0.3286713287,0.483238179491459,"not significant"
"145","AI987944","SE","NC_000073.7","41037679-41041736:41041882-41042651","-",0,0.3286713287,0.483238179491459,"not significant"
"146","AU021092_and_gene-Mir6364","SE","NC_000082.7","5030536-5032467:5032571-5033841","-",0.0486967337,0.3406593407,0.467679698434986,"not significant"
"147","AU021092_and_gene-Mir6364","SE","NC_000082.7","5032571-5033841:5033976-5034606","-",-0.0487227686,0.3406593407,0.467679698434986,"not significant"
"148","AU021092_and_gene-Mir6364","SE","NC_000082.7","5034723-5035662:5035812-5038160","-",0.0011051247,0.3406593407,0.467679698434986,"not significant"
"149","AU021092_and_gene-Mir6364","SE","NC_000082.7","5035812-5038160:5038309-5039927","-",-0.0196086072,0.3406593407,0.467679698434986,"not significant"
"150","AU040320","SE","NC_000070.7","126650861-126681770:126681990-126682074","+",-0.2242869122,0.3466533467,0.460104602629997,"not significant"
"151","AU040320","SE","NC_000070.7","126650861-126682074:126682187-126685568","+",-0.0081910363,0.3881118881,0.411043054355688,"not significant"
"152","AU041133","SE","NC_000076.7","81974213-81979421:81979453-81986051","+",0.1771063275,0.1328671329,0.876582436404802,"not significant"
"153","AU041133","SE","NC_000076.7","81979453-81982727:81982854-81986051","+",-0.2304789187,0.1328671329,0.876582436404802,"not significant"
"154","AV039307","SE","NC_000068.8","120693899-120694221:120694325-120696811","+",0.1838821425,0.1723276723,0.763644978139765,"not significant"
"155","AW554918","SE","NC_000084.7","25473441-25477921:25478019-25532983","+",0.2003163617,0.3416583417,0.46640797137023,"not significant"
"156","AW554918","SE","NC_000084.7","25478019-25491333:25491510-25532983","+",0,0.3516483516,0.453891414060903,"not significant"
"157","AW554918","SE","NC_000084.7","25478019-25532983:25533164-25553024","+",-0.0677756611,0.3416583417,0.46640797137023,"not significant"
"158","Aagab","SE","NC_000075.7","63526513-63542587:63542669-63543666","+",-0.0362314681,0.4100899101,0.387120916013174,"not significant"
"159","Aak1","SE","NC_000072.7","86914066-86921339:86921460-86923086","+",-0.025478401,0.2772227772,0.557171090056306,"not significant"
"160","Aak1","SE","NC_000072.7","86933554-86936014:86936256-86940975","+",0.0666544989,0.2647352647,0.577188203600362,"not significant"
"161","Aak1","SE","NC_000072.7","86933554-86936014:86936256-86940978","+",-0.012276217,0.3076923077,0.511883360968017,"not significant"
"162","Aak1","SE","NC_000072.7","86944355-86947973:86948068-86958278","+",-0.0567158079,0.2647352647,0.577188203600362,"not significant"
"163","Aak1","SE","NC_000072.7","86944355-86947973:86948068-86959524","+",-0.0898583267,0.2647352647,0.577188203600362,"not significant"
"164","Aak1","SE","NC_000072.7","86944355-86947973:86948068-86972822","+",0.3763640044,0.1148851149,0.939736237069438,"not significant"
"165","Aak1","SE","NC_000072.7","86944355-86958278:86958379-86959524","+",-0.0927662879,0.2647352647,0.577188203600362,"not significant"
"166","Aak1","SE","NC_000072.7","86948068-86958278:86958379-86959524","+",-0.0418221827,0.2647352647,0.577188203600362,"not significant"
"167","Aak1","SE","NC_000072.7","86948068-86959524:86959625-86972822","+",-0.4133095942,0.1148851149,0.939736237069438,"not significant"
"168","Aamdc","SE","NC_000073.7","97199948-97207338:97207433-97214358","-",-0.0271539214,0.2197802198,0.658011396618026,"not significant"
"169","Aamdc","SE","NC_000073.7","97214507-97218894:97218981-97224795","-",-0.0307956433,0.2197802198,0.658011396618026,"not significant"
"170","Aamdc","SE","NC_000073.7","97214507-97224795:97224898-97228573","-",-0.0271594208,0.2197802198,0.658011396618026,"not significant"
"171","Aar2","SE","NC_000068.8","156389803-156391772:156391947-156392569","+",-0.0414868971,0.3476523477,0.458854833473209,"not significant"
"172","Aar2","SE","NC_000068.8","156389803-156391805:156391947-156392569","+",-0.0062118453,0.3476523477,0.458854833473209,"not significant"
"173","Aars2","SE","NC_000083.7","45820466-45825418:45825563-45825849","+",-0.1174342627,0.1993006993,0.700491177458075,"not significant"
"174","Aarsd1","SE","NC_000077.7","101304922-101307675:101307751-101307929","-",-0.0024463117,0.3936063936,0.404937855660799,"not significant"
"175","Aasdh","SE","NC_000071.7","77024269-77024385:77024525-77025374","-",0.1528845258,0.3404227352,0.46798144317562,"not significant"
"176","Aasdh","SE","NC_000071.7","77024269-77024389:77024525-77025374","-",-0.089635472,0.3404227352,0.46798144317562,"not significant"
"177","Aasdh","SE","NC_000071.7","77024269-77025374:77025505-77026251","-",0.0287797034,0.3404227352,0.46798144317562,"not significant"
"178","Aasdh","SE","NC_000071.7","77024269-77025374:77026059-77026251","-",-0.3653966857,0.3404227352,0.46798144317562,"not significant"
"179","Aasdh","SE","NC_000071.7","77025505-77025674:77025835-77026251","-",-0.0100714431,0.3404777041,0.467911322233937,"not significant"
"180","Aasdh","SE","NC_000071.7","77036681-77039450:77039642-77044224","-",-0.0255021566,0.3404227352,0.46798144317562,"not significant"
"181","Aasdh","SE","NC_000071.7","77039642-77042137:77042209-77044224","-",-0.0394959131,0.3404227352,0.46798144317562,"not significant"
"182","Aasdh","SE","NC_000071.7","77039642-77042137:77042305-77044224","-",-0.0520634452,0.3404227352,0.46798144317562,"not significant"
"183","Aasdh","SE","NC_000071.7","77050032-77052056:77052227-77052806","-",0.0830694847,0.3404227352,0.46798144317562,"not significant"
"184","Aasdh","SE","NC_000071.7","77050032-77052056:77052227-77053270","-",-0.0064326187,0.3404777041,0.467911322233937,"not significant"
"185","Aasdh","SE","NC_000071.7","77052227-77052806:77052859-77053270","-",-0.025740797,0.3404227352,0.46798144317562,"not significant"
"186","Aasdhppt","SE","NC_000075.7","4302631-4303094:4303215-4308694","-",0.0031993851,0.3561438561,0.448374543344914,"not significant"
"187","Aasdhppt","SE","NC_000075.7","4302631-4303094:4303215-4308734","-",0.0453101686,0.2841158841,0.54650448544587,"not significant"
"188","Aasdhppt","SE","NC_000075.7","4302631-4308734:4308919-4309254","-",0.033718489,0.2841158841,0.54650448544587,"not significant"
"189","Aatf","SE","NC_000077.7","84313845-84326560:84326725-84333392","-",-0.0467961946,0.2907092907,0.536541088507291,"not significant"
"190","Aatf","SE","NC_000077.7","84340013-84345773:84353902-84358287","-",-0.0100602115,0.2907092907,0.536541088507291,"not significant"
"191","Aatf","SE","NC_000077.7","84401243-84402309:84402404-84402967","-",-0.0442092341,0.2907092907,0.536541088507291,"not significant"
"192","Abat","SE","NC_000082.7","8426857-8428991:8429158-8431847","+",-0.0451369791,0.1343656344,0.871711793029816,"not significant"
"193","Abca13","SE","NC_000077.7","9285270-9295940:9296053-9304826","+",-0.0984939568,0.0784215784,1.10556442085357,"skipped exon"
"194","Abca17","SE","NC_000083.7","24484251-24484397:24484587-24484838","-",0.0901242941,0.1898101898,0.721680476549804,"not significant"
