gene_id	CONTROL_REP1	CONTROL_REP2	CONTROL_REP3	CONTROL_REP4	PREECLAMPSIA_REP1	PREECLAMPSIA_REP2	PREECLAMPSIA_REP3	PREECLAMPSIA_REP4
gene-1110019D14Rik	1.211455	0.969498	0.739904	2.201662	0.66359	1.266433	0.770136	0.24032
gene-1110020A21Rik	0.290906	2.88665	0.5878	0.653482	0.93179	0.294237	1.177008	0.830076
gene-1110025L11Rik	0	0	0	0	0	0	0	0
gene-1110025M09Rik	2.736338	2.166589	2.277791	1.641588	2.305931	2.053308	2.244516	2.098154
gene-1110028F11Rik	0.115719	0	0	0	0	0	0	0
gene-1110028F18Rik	0	0	0	0	0	0	0	0
gene-1110032F04Rik	5.748689	6.269962	5.419142	5.551198	4.529048	5.448052	4.776458	4.853243
gene-1110036E04Rik	0	0	0	0	0	0	0	0
gene-1110038B12Rik	112.768459	114.772565	120.896646	116.676956	129.1663	110.806894	113.949949	116.06668
gene-1110038F14Rik	24.991776	23.847336	27.261622	21.000873	21.074645	19.700692	20.538555	21.324335
gene-1110046J04Rik	0.346753	2.061719	0	0	0	2.088144	1.04027	0.652614
gene-1110057P08Rik	0	0	0	0	0	0	0	0
gene-1110058D11Rik	0	0	0	0	0	0	0.464102	0
gene-1110059E24Rik	26.770456	32.000027	26.965393	27.136946	35.764769	31.574722	31.306207	30.346063
gene-1110059G10Rik	7.435692	8.50902	9.301032	6.278904	8.39666	7.610039	7.61649	7.980518
gene-1110065P20Rik	94.122616	75.716616	71.446795	97.378846	84.897688	79.321643	81.558784	96.939106
gene-1190005I06Rik	15.719572	12.521078	15.074558	15.890057	10.074446	15.839123	8.957966	12.520901
gene-1190028D05Rik	0	0	0	0	0	0	0	0
gene-1300002E11Rik	19.848733	17.775334	21.33362	18.337778	18.408003	16.727713	18.977462	15.674818
gene-1500002C15Rik	1.990915	3.984043	4.05402	2.927352	2.952812	2.450589	2.733025	2.67449
gene-1500002F19Rik	0	0	0.18012	0.050333	0	0.046815	0.047759	0.202327
gene-1500004A13Rik	40.784217	44.135556	45.15622	44.520344	50.603995	51.124413	47.879636	49.101822
gene-1500009L16Rik	33.437381	29.610264	20.695186	26.255775	33.70226	27.37448	25.407944	30.016717
gene-1500011B03Rik	107.378868	112.335085	97.815616	108.818963	108.458296	102.486015	109.402213	109.166317
gene-1500012K07Rik	0	0	0.070091	0	0	0	0	0
gene-1500015A07Rik	8.272883	9.655158	8.248362	8.692722	5.004047	6.311816	6.607787	6.634811
gene-1500015L24Rik	0	0	0	0	0	0	0	0
gene-1500026H17Rik	0.607543	0.610006	0.517153	0.46238	1.2903	0.91304	0.602373	1.074306
gene-1500035N22Rik	20.704716	15.200721	16.622173	13.383188	18.487583	16.65673	18.390682	21.883249
gene-1600002D24Rik	0.091596	0	0	0	0	0	0	0
gene-1600010M07Rik	0.561202	0	0	0	0	0	0	0
gene-1600012H06Rik	17.862962	19.370903	21.933352	21.991873	18.889806	19.80867	21.736512	20.778324
gene-1600012P17Rik	0	0	0	0	0	0	0	0
gene-1600014C10Rik	9.127556	8.319945	9.374026	10.36612	10.225018	11.02669	9.458308	9.227997
gene-1600014C23Rik	0	0	0	0	0	0	0	0
gene-1600015H23Rik	0	0	0	0	0	0	0	0
gene-1600019K03Rik	0	1.006029	0	0	0	0	0	0
gene-1600020E01Rik	22.993473	39.361577	34.39396	25.385162	21.050842	25.67165	24.972172	22.435545
gene-1600023N17Rik	6.75498	5.42195	4.856729	3.441334	3.996134	6.029883	2.021169	2.108106
gene-1600025M17Rik	0	0	0	0	0	0	0	0
gene-1600027J07Rik	0	0	0	0	0	0	0	0
gene-1600029I14Rik	0	0	0	0	0	0	0	0
gene-1600029O15Rik	14.83806	14.011841	18.977066	14.304688	12.685896	10.729301	13.825246	10.666832
gene-1700001D01Rik	0	0	0	0	0	0	0	0
gene-1700001F09Rik	0	0	0	0	0	0	0	0
gene-1700001G01Rik	0	0	0	0	0	0	0	0
gene-1700001G11Rik	0	0.348788	0	0	0.373462	0	0.351686	0
gene-1700001G17Rik	4.59041	3.485673	4.094767	2.125227	2.02337	4.384718	2.744863	3.869815
gene-1700001J03Rik	0.717143	0.350128	0.356242	0.204125	0.481064	0.36781	0.093461	0.349627
gene-1700001J04Rik	0	0	0	0.346462	0	0	0	0
gene-1700001J11Rik	0	0	0	0	0.07128	0	0	0
gene-1700001K19Rik	0.112104	0	0.179627	0	0	0.18287	0.119089	0
gene-1700001K23Rik	0	0	0	0	0	0	0	0
gene-1700001L05Rik	0.42905	0.55123	0.219419	0.436218	0.610133	0.381433	0.285866	0.194062
gene-1700001O22Rik	1.35743	1.534381	1.951733	1.250187	1.349418	1.334836	2.0282	0.759624
gene-1700003C15Rik	0	1.236394	0	0	0	0	0	0
gene-1700003D09Rik	0	0	0	0	0	0	0	0
gene-1700003E16Rik	5.087357	3.480885	2.882696	4.783342	4.095979	5.277838	5.627151	3.48074
gene-1700003E24Rik	0	0	0	0.972796	0	0	0	0
gene-1700003F12Rik	0.773677	0.766481	0	0.866611	1.752273	0.413817	0	0.723411
gene-1700003G18Rik	0	0	0	0	0	0	0	0
gene-1700003H04Rik	0	0	0	0	0	0	0	0
gene-1700003I22Rik	0	0	0	0	0	0	0	0
gene-1700003L19Rik	0	0	0	0	0	0	0	0
gene-1700003M07Rik	5.743115	4.3526	5.261091	5.003115	6.356127	5.268225	3.614358	4.61308
gene-1700003P14Rik	0	0	0	0	0	0	0	0
gene-1700006A11Rik	0	0	0	0	0	0	0	0
gene-1700006F04Rik	0	0	0	0	0	0	0	0
gene-1700006H20Rik	0	0	0	0	0	0	0	0
gene-1700006H21Rik	0	0	0	0	0	0	0	0
gene-1700006J14Rik	0.061197	0.122822	0.062478	0	0.270777	0	0.052284	0.120717
gene-1700007E05Rik	0	0.176012	0	0.050037	0	0.046541	0.047481	0
gene-1700007F19Rik	0	0	0	0	0	0	0	0
gene-1700007J10Rik	0	0	0	0	0	0	0	0
gene-1700007L15Rik	2.996988	0.371098	0.378127	0.839189	0	0.374806	1.49119	0.350886
gene-1700007P06Rik	0	0	0	0	0	0	0	0
gene-1700008C04Rik	0	0	0	0	0	0	0	0
gene-1700008J07Rik	4.658456	4.542007	4.219169	3.741112	2.465895	3.816194	3.46207	3.301729
gene-1700008K24Rik	0	0	0	0	0	0	0	0
gene-1700008O03Rik	1.472664	0.767814	0.26056	1.248957	0.552547	1.144361	2.001504	0.696552
gene-1700008P02Rik	0	0	0	0	0	0	0	0
gene-1700009C05Rik	0	0	0	0	0	0	0	0
gene-1700009J07Rik	0	0	0	0	0	0	0	0
gene-1700009N14Rik	0	0	0	0	0	0	0	0
gene-1700010B08Rik	0	0	0	0	0	0	0	0
gene-1700010D01Rik	0	0	0	0	0	0	0	0
gene-1700010G06Rik	0	0.162834	0	0	0	0.057316	0	0.054584
gene-1700010H22Rik	0.428303	0	0	0.24349	0.23514	0.224523	0.341741	0.106596
gene-1700010I02Rik	0	0	0	0	0	0	0	0
gene-1700010I14Rik	1.19782	1.252121	0.799577	1.436173	0.796833	0.656598	1.441691	0.991213
gene-1700010J16Rik	0	0	0	0	0	0	0	0
gene-1700010K23Rik	0	0	0	0	0	0	0	0
gene-1700010L04Rik	0	0	0	0.332354	0	0	0	0
gene-1700010N08Rik	0	0	0	0	0	0	0	0
gene-1700011B04Rik	0	0	0	0	0	0	0	0
gene-1700011C11Rik	0	0	0	0	0	0	0	0
gene-1700011L22Rik	0	0	0	0	0	0	0	0
gene-1700012A03Rik	0	0	0	0	0	0	0	0
gene-1700012B07Rik	0	0	0	0	0	0	0	0
gene-1700012B09Rik	0.442665	1.315126	2.235567	2.47734	2.799167	0.440812	0	1.643585
gene-1700012C14Rik	0	0	0	1.030823	0	0	0	0.829224
gene-1700012D01Rik	0	0.429302	0	0.970296	0	0	0.42785	0
gene-1700012D16Rik	0	0	0	0	0	0	1.247334	0
gene-1700012H19Rik	0	0	0	0	0	0	0	0
gene-1700012I11Rik	0	0	0	0	0	0	0	0
gene-1700012J15Rik	0	0	0	0	0	0	0	0
gene-1700013D24Rik	0	0	0	0	0	0	0	0
gene-1700013G24Rik	0	0	0	0	0	0	0	0
gene-1700013H16Rik	0	0	0	0	0	0	0	0
gene-1700013N06Rik	0	0	0	0	0	0	0	0
gene-1700014L14Rik	0	0	4.833626	0	0	0	0	0
gene-1700015C15Rik	0	0	0	0	0	0	0	0
gene-1700015I17Rik	0	0	0	0	0	0.147798	0	0
gene-1700016A09Rik	0.90757	1.800813	3.055641	4.075836	0.967757	1.527296	1.220917	3.731811
gene-1700016B01Rik	0	0	0	0	0	0	0	0
gene-1700016C19Rik	0	0	0	0	0	0.037613	0	0
gene-1700016G22Rik	0	0	0	0	0	0	0	0
gene-1700016H13Rik	0.364899	1.236199	0.764295	0.283456	0.270286	0.730916	0.727418	0.637641
gene-1700016J18Rik	0.111729	0	0.22757	0.253988	0	0.117027	0.330888	0.111093
gene-1700016K05Rik	0	0	0	0	0	0	0	0
gene-1700016L04Rik	0	0	0	0	0	0	0	0
gene-1700016L21Rik	0	0	0	0	0	0	0	0
gene-1700016P04Rik	0	0	0	0	0	0	0	0
gene-1700017B05Rik	2.678404	3.611397	3.854436	3.602726	2.586811	1.949128	3.005897	3.424444
gene-1700017G19Rik	0	0.065602	0	0	0	0	0	0
gene-1700017J07Rik	0	0	0	0	0	0	0	0
gene-1700017L05Rik	0	0	0	0	0	0	0	0
gene-1700017M07Rik	0	0	0	0	0	0	0	0
gene-1700017N19Rik	0.103191	0	0	0	0	0	0	0
gene-1700018A04Rik	0	0	0	0	0	0	0	1.146716
gene-1700018A23Rik	0	0	0	0	0	0	0	0
gene-1700018B08Rik	0	0.469157	0	0	0.253777	0	0	0
gene-1700018B24Rik	0	0	0	0	0	0	0	0
gene-1700018F24Rik	0	0.367942	0	0	0	0	0	0
gene-1700018L02Rik	0.940883	0.31315	0.159346	1.776659	1.708155	1.790048	0.328895	0.924628
gene-1700019A02Rik	1.079638	0	0	0	0	0	0	0
gene-1700019C18Rik	0	0	0	0	0	0	0	0
gene-1700019D03Rik	1.858811	1.827674	1.835098	2.56988	1.616524	1.777791	2.022641	1.670556
gene-1700019E08Rik	0	0	0	0	0	0	0	0
gene-1700019F05Rik	0	0	0	0	0	0	0	0
gene-1700019G24Rik	0	0	0	0	0	0	0	0
gene-1700019J19Rik	0	0	0	0	0	0	0	0
gene-1700019M22Rik	0	0	0	0	0	0	0	0
gene-1700019P21Rik	0	0	0	0	0	0	0	0
gene-1700020A23Rik	0	0	0	0	0	0	0	0
gene-1700020D12Rik	0	0	0	0	0	0	0	0
gene-1700020D14Rik	0	0	0	0	0	0	0	0
gene-1700020G03Rik	0.166654	0.111525	0	0.190185	0.061506	0	0.059999	0
gene-1700020G17Rik	0	0	0	0	0	0	0	0
gene-1700020L13Rik	0	0	0	0	0	0	0	0
gene-1700020L24Rik	0	0.247488	0.50391	0.280351	0	0	0.254523	0.2391
gene-1700020M21Rik	0	0	0	0	0	0	0	0
gene-1700020N01Rik	0	0	0	0	0	0.412588	0	0
gene-1700020N15Rik	0	0	0	0	0	0	0	0
gene-1700020N18Rik	0	0	0	0	0	0	0	0
gene-1700021F02Rik	0	0	0	0	0	0	0	0
gene-1700021G15Rik	0	0	0	0	0	0	0	0
gene-1700021L23Rik	0	0	0	0	0	0	0	0
gene-1700021N21Rik	0.261619	0	0	0	0	0	0	0.250455
gene-1700022A21Rik	0	0	0	0	0	0	0	0
gene-1700022A22Rik	0	0	0	0	0	0	0	0
gene-1700022E09Rik	0	0	0	0	0	0	0	0
gene-1700022H01Rik	0	0	0	0	0	0	0	0.415635
gene-1700022H16Rik	0	0	0	0	0	0	0	0
gene-1700022N22Rik	0.637486	0.632143	0	0.715241	0.339266	0	0.640959	0.301469
gene-1700023A20Rik	0	0	0	0	0	0	0	0
gene-1700023C21Rik	0	0	0	0	0	0	0	0
gene-1700023D09Rik	1.469442	0	0.74452	0	1.525658	0.727575	0	1.999722
gene-1700023F02Rik	0.495959	0	0	0.766201	0	0	0	0
gene-1700023G09Rik	0	0	0	0	0	0	0	0
gene-1700024B05Rik	0	0	0	0	0	0	0	0
gene-1700024B18Rik	0	0	0	0	0	0	0	0
gene-1700024G13Rik	0	0	0	0	0	0	0	0
gene-1700024I08Rik	0	0	0	0	0	0	0	0
gene-1700024J04Rik	0.061281	0	0.062564	0	0.067786	0.064864	0	0
gene-1700024N05Rik	0	0	0	0	0	0	0	0
gene-1700025B11Rik	0	0	0	0	0	0	0	0
gene-1700025C18Rik	0	0	0	0	0	0	0	0
gene-1700025D23Rik	0	0	0	0	0	0	0	0
gene-1700025F24Rik	0	0	0	0	0	0	0	0
gene-1700025G04Rik	27.204175	26.705655	27.464405	31.160581	32.479934	31.570109	30.92577	30.926705
gene-1700025H01Rik	0	0	0	0	0	0	0	0
gene-1700025J12Rik	0	0	0	0	0	0	0	0
gene-1700025K04Rik	0	0	0	0	0	0	0	0
gene-1700025K24Rik	0	0	0	0	0	0	0	0
gene-1700025M24Rik	0	0	0	0	0	0	0	0
gene-1700025N21Rik	0.03099	0	0	0.017734	0	0	0	0.015805
gene-1700025N23Rik	0	0	0	0	0	0	0	0
gene-1700025O08Rik	0	0	0	0	0	0	0	0
gene-1700026D11Rik	0	0	0	0	0	0	0	0
gene-1700026F02Rik	0	0	0	0	0	0	0	0
gene-1700026J12Rik	0	0	0	0	0	0	0	0
gene-1700026J14Rik	0.332598	0.329694	0	0	0	1.672085	0	0.313763
gene-1700027F06Rik	0	0	0	0	0	0	0	0
gene-1700027F09Rik	0	0	0	0	0	0	0	0
gene-1700027H10Rik	0	0	0	0	0	0	0	0
gene-1700027I24Rik	0	0	0	0	0	0	0	0
gene-1700027J07Rik	0	0	0	0	0	0	0	0
gene-1700028B04Rik	0	0	0	0	0	0	0	0
gene-1700028D13Rik	0	0	0	0	0	0	0	0
gene-1700028E10Rik	0.319533	0.240251	0	0.182007	0.176195	0.168452	0.085662	0.32038
gene-1700028I16Rik	0.202091	0.402614	0	0	0.218556	0	0.209211	0
gene-1700028J19Rik	0.673894	0.336229	0.513289	0.762871	0.915877	0.523243	0.176086	0.990393
gene-1700028K03Rik	0.148566	0.099451	0.45529	0.056539	0.164651	0.052547	0.321491	0.200216
gene-1700028M03Rik	0	0	0	0	0	0	0	0
gene-1700028P15Rik	0	0	0	0	0	0	0	0
gene-1700029B22Rik	0	0	0	0	0	0	0	0
gene-1700029F12Rik	0	0	0	0	0	0	0	0
gene-1700029H14Rik	0	0	0	0	0.153917	0	0	0
gene-1700029J03Rik	0	0	0	0	0	0	0	0
gene-1700029M03Rik	0	0	0	0	0	0	0	0
gene-1700029M20Rik	0.0548	0	0	0	0	0.058083	0.0592	0
gene-1700029N11Rik	0	0	0	0	0	0	0	0
gene-1700030A11Rik	0	0	0	0	0	0	0	0
gene-1700030C10Rik	0.401304	1.10517	1.431206	1.483629	0.330835	1.053317	1.818024	1.100582
gene-1700030C12Rik	0.278944	0.278772	0.709224	0.47464	0.457041	0.290503	0.293985	0.275359
gene-1700030C14Rik	0.731708	1.812153	0.369266	1.229635	0	0.732747	0.729196	0.686295
gene-1700030F04Rik	0	0	0	0	0	0	0	0
gene-1700030I03Rik	0	0	0	0	0	0	0	0
gene-1700030J22Rik	3.731527	5.735114	5.157024	4.637936	4.506456	5.972959	4.974994	4.23833
gene-1700030K09Rik	15.566271	16.71809	18.936032	19.205506	18.032096	17.830731	17.48422	15.049997
gene-1700030L20Rik	0	0	0	0	0	0	0	0
gene-1700030L22Rik	0.010502	0	0.015098	0	0	0	0	0
gene-1700030M09Rik	0	0	0	0	0	0	0	0
gene-1700030N03Rik	0	0	0	0	0	0	0	0
gene-1700030O20Rik	0	0	0	0	0	0	0	0
gene-1700031A10Rik	0	0	0	0	0	0	0	0
gene-1700031F05Rik	0	0	0	0	0	0	0	0
gene-1700031L13Rik	0	0	0	0	0	0	0	0
gene-1700031M16Rik	0	0	0	0	0	0	0	0
gene-1700031P21Rik	0	0	0	0	0	0	0	0
gene-1700034B16Rik	0	0	0	0	0	0	0	0
gene-1700034E13Rik	0	0	0	0	0	0	0	0
gene-1700034G24Rik	0	0	0	0	0	0	0	0
gene-1700034H15Rik	0.80868	0.677235	0.757833	0.693232	1.16062	1.219645	0.805836	0.718217
gene-1700034J05Rik	0	0	0	0	0	0.091542	0	0
gene-1700034K08Rik	0	0	0	0	0	0	0	0
gene-1700034P13Rik	0.243172	0	0	0.2762	0.133192	0.127092	0.257613	0.120583
gene-1700036A12Rik	0	0.071681	0.072929	0	0.078927	0.150975	0	0.071819
gene-1700036G14Rik	0	0	0	0	0	0	0	0
gene-1700037C18Rik	7.992464	6.069599	6.177695	5.162133	1.237117	4.11877	7.708803	5.514705
gene-1700037F03Rik	0	0	0	0	0	0	0	0
gene-1700039E22Rik	0	0	0	0	0	0	0	0
gene-1700039I01Rik	0.060697	0	0.083672	0.093446	0	0.128507	0.196369	0.244669
gene-1700039M10Rik	2.352584	3.88563	0.795449	0	1.625691	0.776867	0	2.130811
gene-1700039O17Rik	0	0	0	0	0	0	0	0
gene-1700040D17Rik	1.449703	2.681156	1.679419	1.169015	2.461754	0.638169	2.355027	1.406384
gene-1700040F15Rik	0	0	0	0	0	0	0	0
gene-1700040G22Rik	0	0	0	0	0	0	0	0
gene-1700040K01Rik	0	0	0	0	0	0	0	0
gene-1700040P09Rik	0	0	0	0	0	0	0	0
gene-1700041A01Rik	0	0	0	0	0	0	0	0
gene-1700041B01Rik	0	0.048242	0	0	0	0.025592	0	0.024413
gene-1700041C23Rik	0	0	0	0	0	0	0	0
gene-1700041G16Rik	0	0	0.345648	0	0.369981	0	0.250615	0
gene-1700041I07Rik	0	0	0	0	0	0	0	0
gene-1700041M19Rik	0	0	0	0	0	0	0	0
gene-1700042G15Rik	0	0	0	0	0	0	0	0
gene-1700042O10Rik	0.196449	0	0	0	0	0	0	0
gene-1700044C05Rik	0	0	0	0	0	0	0	0
gene-1700044K03Rik	0	0	0	0	0	0	0	0
gene-1700045H11Rik	0	0	0	0	0	0	0	0
gene-1700046C09Rik	0	0	0	0	0	0	0	0
gene-1700047A11Rik	0	0	0	0	0	0	0	0
gene-1700047E10Rik	0	0	0	0	0	0	0	0
gene-1700047F07Rik	0	0	0	0	0	0	0	0
gene-1700047G03Rik	0	0	0	0	0	0	0	0
gene-1700047L14Rik	0	0	0	0	0	0	0	0
gene-1700047M11Rik	0	0	0	0	0	0	0	0
gene-1700048B10Rik	0	0	0	0	0	0	0	0
gene-1700048F04Rik	0	0	0	0	0	0	0	0
gene-1700048M11Rik	0	0	0	0	0	0	0	0
gene-1700048O14Rik	0	0	0	0	0	0	0	0
gene-1700048O20Rik	13.796112	11.426177	13.501047	17.587444	15.590054	11.220764	13.169427	9.927915
gene-1700049E15Rik	0	0	0	0	0	0	0	0
gene-1700049E17Rik1	0	0	0	0	0	0	0	0
gene-1700049E17Rik2	0	0	0	0	0	0	0	0
gene-1700049E22Rik	0	0	0	0	0	0	0	0
gene-1700049J03Rik	0	0	0	0	0	0.241745	0	0.222389
gene-1700049L16Rik	0	0	0	0	0	0	0	0
gene-1700051A21Rik	0	0	0	0	0	0	0	0.136991
gene-1700051K13Rik	0	0	0	0	0	0	0	0
gene-1700052H01Rik	0	0	0	0	0	0	0	0
gene-1700052I22Rik	0	0	0	0	0	0	0	0
gene-1700052K11Rik	9.399954	9.563163	9.121398	10.643522	6.950752	5.809604	7.483556	6.861123
gene-1700054A03Rik	0	0	0	0	0	0	0	0
gene-1700054K19Rik	0	0	0	0	0	0	0	0
gene-1700054M17Rik	0	0	0	0	0	0	0	0
gene-1700054O19Rik	0.043695	0	0.044648	0	0	0	0	0
gene-1700055C04Rik	0	0	0	0	0	0	0	0
gene-1700055D16Rik	0	0	0.079957	0.193856	0	0	0	0.078623
gene-1700055D18Rik	0.699002	0.466275	0.711696	0.661857	0.383173	0.731425	0.370802	1.041234
gene-1700055K11Rik	0	0	0	0	0	0	0	0
gene-1700055L01Rik	0	0.060663	0	0	0	0	0.065195	0
gene-1700056E22Rik	0.466846	1.392921	0.236325	0.263055	0.251218	0.715584	0	0.674914
gene-1700057H15Rik	0	0	0	0	0	0	0	0
gene-1700057H21Rik	0	0	0	0	0	0	0	0
gene-1700060C16Rik	0	0	0	0	0	0	0	0
gene-1700060C20Rik	0	0	0	0	0	0	0	0
gene-1700060J05Rik	0	0	0	0	0.621449	0	0	0
gene-1700061F12Rik	0	0	0	0	0	0	0	0
gene-1700061I17Rik	0	0	0	0	0	0	0	0
gene-1700061J23Rik	0	0	0	0	0	0	0	0
gene-1700061N14Rik	0	0	0	0	0	0	0	0
gene-1700062C10Rik	0	0	0	0	0	0	0	0
gene-1700063A18Rik	0	0	0	0	0	0	0	0
gene-1700063D05Rik	0	0	0	0	0	0.82997	0.411629	0
gene-1700063H04Rik	0	0	0	0	0	0	0	0
gene-1700063H06Rik	0	0	0	0	0.102696	0	0	0
gene-1700063K16Rik	0	0	0	0	0	0	0	0
gene-1700063O14Rik	0	0	0	0	0	0	0	0
gene-1700064F23Rik	0	0	0	0	0	0	0	0
gene-1700064J06Rik	0	0	0	0	0	0	0	0
gene-1700064M15Rik	0	0	0	2.272146	0	0	0	0
gene-1700065D16Rik	0	0.824659	0.844236	2.796802	0	0	0.797604	0
gene-1700065I16Rik	0	0	0	0	0	0	0	0
gene-1700065J11Rik	0	0	0	0	0	0	0	0
gene-1700065J18Rik	0	0	0	0	0	0	0	0
gene-1700065L07Rik	0	0	0	0	0	0	0	0
gene-1700065O20Rik	0	0	0	0	0	0	0	0
gene-1700066B17Rik	0	0	0	0	0	0	0	0
gene-1700066C05Rik	0	0	0	0	0	0	0	0
gene-1700066J03Rik	0	0	0	0	0	0	0	0
gene-1700066M21Rik	23.044331	21.473409	21.224933	21.529542	23.460695	25.052162	23.86491	24.996823
gene-1700066N21Rik	0	0	0	0	0	0	0	0
gene-1700066O22Rik	0	0	0	0	0	0	0	0
gene-1700067G17Rik	0	0	0	0	0	0	0	0
gene-1700067K01Rik	0.071014	0.142452	0.291855	0	0.470576	0.225041	0.152701	0.428218
gene-1700067P10Rik	0	0	0	0	0	0	0	0
gene-1700069L16Rik	0	0	0	0	0	0	0	0
gene-1700069P05Rik	0	0	0	0	0	0	0	0
gene-1700071G01Rik	0	0	0	0	0	0	0	0
gene-1700071K01Rik	0.415488	1.034384	0.210573	0.938075	0.448937	0.213356	0	0.201503
gene-1700071M16Rik	0	0	0.239213	0	0	0	0.068288	0.127637
gene-1700072B07Rik	0	0	0	0	0	0	0	0
gene-1700072F12Rik	0	0	0	0	0	0	0	0
gene-1700072I22Rik	0	0	0	0	0	0	0	0
gene-1700072O05Rik	0	0	0	0	0	0	0	0
gene-1700073E17Rik	0	0	0	0	0	0	0	0
gene-1700074H08Rik	0	0	0	0	0	0	0	0
gene-1700080F18Rik	0	0	0	0	0	0	0	0
gene-1700080G11Rik	0	0	0	0	0	0	0	0
gene-1700080N15Rik	0	0	0	0	0	0	0	0
gene-1700081B01Rik	0	0	0	0	0	0	0	0
gene-1700081H04Rik	0	0	0	0	0	0	0	0
gene-1700082M22Rik	0.130107	0.261368	0.398841	0.247678	0	0.138231	0.09402	0.087813
gene-1700083H02Rik	0	0	0	0	0	0	0	0
gene-1700084D21Rik	0	0	0	0	0	0	0	0
gene-1700084E18Rik	0	0	1.319646	1.452791	1.316425	0	1.225154	0
gene-1700084F23Rik	0	0	0	0	0	0	0	0
gene-1700084J12Rik	0	0	0	0	0	0	0	0
gene-1700084M14Rik	0	0	0	0	0	0	0	0
gene-1700085C21Rik	0	0	0	0	0	0	0	0
gene-1700086D15Rik	0.027141	0	0.13878	0.09311	0.060379	0.024291	0.074482	0.137986
gene-1700086L19Rik	20.434608	22.832754	30.140231	31.73215	34.463256	30.666026	30.937218	27.204231
gene-1700086O06Rik	3.342784	2.144078	5.416816	3.130493	2.908297	3.517267	4.503731	4.870807
gene-1700086P04Rik	0.440109	0.437991	1.337504	0.248199	0	0.676309	0.226655	0.212776
gene-1700087M22Rik	0	0	0	0	0	0	0	0
gene-1700088E04Rik	6.584718	5.323647	5.037906	6.285325	7.160731	3.575833	6.211804	5.057816
gene-1700091H14Rik	0	0	0	0	0	0	0	0
gene-1700091J24Rik	0	0	0	0	0	0	0	0
gene-1700092C02Rik	0	0	0	0	0	0	0	0
gene-1700092C10Rik	0	0	0	0	0	0	0	0
gene-1700092E19Rik	0	0	0	0	0	0	0	0
gene-1700092K14Rik	0	0	0	0	0	0	0	0
gene-1700093K21Rik	1.969995	1.330654	0.758094	0.929018	0.406118	0.562148	0.22922	0.48184
gene-1700094J05Rik	0	0	0	0	0	0	0	0
gene-1700094M23Rik	0.145992	0.350669	0.500327	0.25898	0.292202	0.328991	0.586858	0.58078
gene-1700094M24Rik	0	0	0	0	0	0	0	0
gene-1700095A13Rik	0	0	0	0	0	0	0	0.092923
gene-1700095A21Rik	0	0	0	0	0	0	0	0
gene-1700095B10Rik	0	0	0	0	0	0	0	0
gene-1700095J03Rik	1.505772	0.754213	2.014431	1.071028	1.449703	1.582943	2.110493	0.658055
gene-1700095J07Rik	0	0	0	0	0	0	0	0
gene-1700095J12Rik	0	0	0	0	0	0	0	0
gene-1700095K22Rik	0	0	0	0	0	0	0	0
gene-1700096J18Rik	0	0	0	0	0	0	0	0
