Sample	Samtools_mqc-generalstats-samtools-error_rate	Samtools_mqc-generalstats-samtools-non_primary_alignments	Samtools_mqc-generalstats-samtools-reads_mapped	Samtools_mqc-generalstats-samtools-reads_mapped_percent	Samtools_mqc-generalstats-samtools-reads_properly_paired_percent	Samtools_mqc-generalstats-samtools-reads_MQ0_percent	Samtools_mqc-generalstats-samtools-raw_total_sequences	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	Samtools_mqc-generalstats-samtools-mapped_passed_pct	Salmon_mqc-generalstats-salmon-percent_mapped	Salmon_mqc-generalstats-salmon-num_mapped	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-median_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
PREECLAMPSIA_REP1_2_val_2																28.32418890904988	49.0	148.0267031225605	150	10.0	20374209.0
PREECLAMPSIA_REP2	0.003984666	2141935.0	41893802.0	100.0	99.97213907680185	0.20585145268027955	41893802.0	44035737	44035737	100.0	72.07879031618926	15379223	95.03	20275401.0							
PREECLAMPSIA_REP2_1															0.553986952759239	33.69276671169884	48.0	150.0	150	10.0	21356444.0
PREECLAMPSIA_REP2_1_val_1																33.72514298905749	48.0	148.6233104742663	150	10.0	21336683.0
PREECLAMPSIA_REP2_2															0.9919461311068454	28.343700096820527	48.0	150.0	150	0.0	21356444.0
PREECLAMPSIA_REP2_2_val_2																28.399444297604674	49.0	148.06875881316697	150	10.0	21336683.0
PREECLAMPSIA_REP3	0.00391241	2006541.0	38974418.0	100.0	99.91185500191433	0.204431532499087	38974418.0	40980959	40980959	100.0	75.34932116885432	15053744	94.44	18866992.0							
PREECLAMPSIA_REP3_1															0.6199470174044064	34.39855158380841	48.0	150.0	150	10.0	20085967.0
PREECLAMPSIA_REP3_1_val_1																34.359200280283716	48.0	148.62691090659678	150	10.0	19978606.0
PREECLAMPSIA_REP3_2															1.829917241889989	32.20515809575046	49.0	150.0	150	0.0	20085967.0
PREECLAMPSIA_REP3_2_val_2																32.23228219043729	49.0	147.4553692584958	150	10.0	19978606.0
PREECLAMPSIA_REP4	0.004145017	2111674.0	40222780.0	100.0	99.92950263507396	0.20344193016991866	40222780.0	42334454	42334454	100.0	76.26884131106394	15722017	94.31	19441484.0							
PREECLAMPSIA_REP4_1															0.5891998858169097	35.595099639119624	48.0	150.0	150	10.0	20695417.0
PREECLAMPSIA_REP4_1_val_1																35.559159952491825	48.0	148.65288405494437	150	10.0	20613945.0
PREECLAMPSIA_REP4_2															1.6191915340483354	33.64931517497921	49.0	150.0	150	0.0	20695417.0
PREECLAMPSIA_REP4_2_val_2																33.66352802115517	49.0	147.56842166795343	150	10.0	20613945.0
