Geneid,Chr,Strand,NExons,gene.F,P.Value,FDR
gene-Clasp2,NC_000075.7,+,49,9.34515201436012,5.31986525625136e-38,1.60004226416509e-35
gene-Cacna1e,NC_000067.7,-,60,7.65395880227138,1.83762535438668e-37,5.40136561551884e-35
gene-Pi4ka,NC_000082.7,-,57,7.97026396349343,2.83908387823616e-37,8.09827472463854e-35
gene-Acaca,NC_000077.7,+,58,7.84675873867428,2.88038844300141e-37,8.09827472463854e-35
gene-Map4k4,NC_000067.7,+,38,11.6535925386801,7.6234478100783e-37,2.09774575590942e-34
gene-Fasn,NC_000077.7,-,44,10.0650336440961,1.16016019519149e-36,3.12590662591908e-34
gene-Chd4,NC_000072.7,+,44,9.93616715468433,1.74441391904516e-36,4.60418473775736e-34
gene-Ranbp2,NC_000076.7,+,29,15.100791104028,9.95849574408161e-36,2.57586450916415e-33
gene-Sbf2,NC_000073.7,-,46,9.2068780656099,2.3887135627e-35,6.05749656988217e-33
gene-Vcan,NC_000079.7,-,19,25.1276184254641,2.83206296999806e-35,6.97006331948718e-33
gene-Rev3l,NC_000076.7,+,35,12.0793717134422,2.85636245212109e-35,6.97006331948718e-33
gene-Chl1,NC_000072.7,+,31,13.7736862399834,2.92513873123298e-35,7.00570726130299e-33
gene-Myh10,NC_000077.7,+,41,10.2084282995732,4.49075494545735e-35,1.05598061290182e-32
gene-Anapc1,NC_000068.8,-,50,8.44910679798871,4.61915114813687e-35,1.06677646069382e-32
gene-Pcm1,NC_000074.7,+,41,10.107181451128,9.40200342421706e-35,2.1332650927263e-32
gene-Kmt2c,NC_000071.7,-,70,6.27885237267177,1.11659024795869e-34,2.4898037373879e-32
gene-Kmt2d,NC_000081.7,-,65,6.59399859751422,3.06217294504331e-34,6.71238689800765e-32
gene-Dhx9,NC_000067.7,-,33,12.2191770259928,8.91028418531968e-34,1.92061175614566e-31
gene-Fat1,NC_000074.7,+,32,12.5682819992837,1.20592492002121e-33,2.55675852305481e-31
gene-Usp34,NC_000077.7,+,82,5.33583184425335,6.30545218634104e-33,1.3152969859024e-30
gene-Nrcam,NC_000078.7,+,39,9.98340450156497,7.83366346285673e-33,1.60813919944645e-30
gene-Myo9a,NC_000075.7,+,47,8.26688507553232,2.07053393362903e-32,4.18409615056629e-30
gene-L1cam,NC_000086.8,-,31,12.3941233224586,2.55542281395272e-32,5.08450511582316e-30
gene-Prrc2b,NC_000068.8,+,35,10.8736736084914,3.54361640491266e-32,6.9438774188993e-30
gene-Bptf,NC_000077.7,-,40,9.49337328094377,4.78374891243617e-32,9.23406338575179e-30
gene-Chd8,NC_000080.7,-,40,9.32048006689611,1.71933689130484e-31,3.27002706106551e-29
gene-Eif4g1,NC_000082.7,+,38,9.60654251357872,6.15743419750346e-31,1.15411734023641e-28
gene-Akap11,NC_000080.7,-,15,28.0675156821988,6.45245595341175e-31,1.1875407746036e-28
gene-Myo5a,NC_000075.7,+,42,8.73583266566571,6.51939959768465e-31,1.1875407746036e-28
gene-Fat4,NC_000069.7,+,18,22.0153944077113,7.03827092988199e-31,1.26424941578005e-28
gene-Fn1,NC_000067.7,-,48,7.53009652803584,5.32423826012157e-30,9.43265389289756e-28
gene-Dcx,NC_000086.8,-,14,29.1829615192229,6.92500089720159e-30,1.21028427842579e-27
gene-Ptprs,NC_000083.7,-,34,10.2498627332525,1.01112896253646e-29,1.74359078299787e-27
gene-Pds5b,NC_000071.7,+,36,9.6466385063713,1.39896327183082e-29,2.38063052560368e-27
gene-Map1b,NC_000079.7,-,8,66.2265274898189,1.46322824617435e-29,2.45765336464582e-27
gene-Prrc2c,NC_000067.7,-,40,8.72782758619343,1.50245551234494e-29,2.49118681296886e-27
gene-Zfp638,NC_000072.7,+,37,9.27079145985085,3.35803827693534e-29,5.49740620703857e-27
gene-Trip12,NC_000067.7,-,50,6.97857072418995,1.08186087152684e-28,1.74896333143207e-26
gene-Kif21b,NC_000067.7,+,36,9.3121932902589,1.30473640291497e-28,2.0832291233209e-26
gene-Kalrn,NC_000082.7,-,76,4.94092974964961,8.70447095754365e-28,1.37286491334039e-25
gene-Vps13d,NC_000070.7,-,78,4.82348668432822,1.46527579463426e-27,2.28318215084396e-25
gene-Spag9,NC_000077.7,+,34,9.40031686909573,1.99685679323547e-27,3.07444629844219e-25
gene-Neo1,NC_000075.7,-,32,9.92529492114219,2.46970687875195e-27,3.7577316544587e-25
gene-Dock7,NC_000070.7,-,57,6.00736432125314,2.89212967805038e-27,4.34929222397972e-25
gene-Prrc2a,NC_000083.7,-,34,9.22971525247006,5.9293030681934e-27,8.81421569895922e-25
gene-Zswim8,NC_000080.7,+,35,8.92678231172134,8.66071537537974e-27,1.2728299085203e-24
gene-Dchs1,NC_000073.7,-,23,13.5359258964988,1.08687943678844e-26,1.57939457932415e-24
gene-Usp47,NC_000073.7,+,29,10.4861010386331,2.49004461496531e-26,3.57819411170515e-24
gene-Copa,NC_000067.7,+,36,8.54337940912431,2.55246232294811e-26,3.62758189260306e-24
gene-Dlgap4,NC_000068.8,+,33,9.23275699474484,2.97313358271762e-26,4.17951485057467e-24
gene-Ptprt,NC_000068.8,-,33,9.17454902333356,4.27467643363309e-26,5.92317386901938e-24
gene-Nfasc,NC_000067.7,-,39,7.88674684688535,4.30509814960041e-26,5.92317386901938e-24
gene-Atp8a1,NC_000071.7,-,40,7.68101871602943,5.64437778899426e-26,7.68407767842766e-24
gene-Ncor2,NC_000071.7,-,57,5.76595238755661,5.77214868085399e-26,7.77616655098799e-24
gene-Kmt2a,NC_000075.7,-,40,7.67067386456651,6.13624822447609e-26,8.18145343166487e-24
gene-Taf1,NC_000086.8,+,45,6.93646302447422,6.55041589925555e-26,8.64454375766041e-24
gene-Smg1,NC_000073.7,-,64,5.24256372375119,1.20227937338192e-25,1.5706140541362e-23
gene-Ep400,NC_000071.7,-,52,6.116292408541,1.27633002432003e-25,1.6506776204531e-23
gene-Hspg2,NC_000070.7,+,74,4.73535559244737,1.29771436076823e-25,1.6617168146352e-23
gene-Caprin1,NC_000068.8,-,26,11.3065882089945,1.4719164692399e-25,1.86630349967448e-23
gene-Pclo,NC_000071.7,+,33,8.94020521000878,1.86375562780319e-25,2.34018946935716e-23
gene-Clasp1,NC_000067.7,+,44,6.88555195714018,3.45541438630824e-25,4.29700714020427e-23
gene-Fmnl2,NC_000068.8,+,33,8.71455402090575,7.82087693754032e-25,9.6330858507818e-23
gene-Matr3,NC_000084.7,+,26,10.9108059524006,8.96121463095442e-25,1.09335272473711e-22
gene-Smarca2,NC_000085.7,+,44,6.73192568719592,1.42926754349037e-24,1.72754365794028e-22
gene-Akap9,NC_000071.7,+,52,5.90070810851404,1.45382297370331e-24,1.74095301100971e-22
gene-Eif3a,NC_000085.7,-,22,12.7999101024291,1.56117448197626e-24,1.85235500691734e-22
gene-Zfr,NC_000081.7,+,23,12.2109432041913,1.60980272939831e-24,1.89268897266439e-22
gene-Cacna2d1,NC_000071.7,+,45,6.53107712239053,3.05467224135724e-24,3.53308281107636e-22
gene-Mdn1,NC_000070.7,+,106,3.64531246965435,3.05965572443016e-24,3.53308281107636e-22
gene-Hmgcr,NC_000079.7,-,22,12.5412102490567,4.01876109277579e-24,4.57108749708173e-22
gene-Celsr2,NC_000069.7,-,38,7.47632523545867,4.02925829016715e-24,4.57108749708173e-22
gene-Bsn,NC_000075.7,-,13,22.9172455410001,4.1043384782363e-24,4.61577474252435e-22
gene-Srrm2,NC_000083.7,+,31,9.08916812386953,4.37311390688516e-24,4.87564501359878e-22
gene-Apc2,NC_000076.7,+,19,14.5505914470947,5.83812193892722e-24,6.45337017402955e-22
gene-Ncoa1,NC_000078.7,-,33,8.35706900290041,7.8442023422863e-24,8.59737871972785e-22
gene-Arid1a,NC_000070.7,-,25,10.817074925251,9.33430036249441e-24,1.0144580385558e-21
gene-Smchd1,NC_000083.7,-,49,5.96713402340762,1.35638924266363e-23,1.46184850628073e-21
gene-Kdm6b,NC_000077.7,-,34,8.0448463805489,1.47663778845681e-23,1.57829392711668e-21
gene-Gcn1,NC_000071.7,+,60,5.11305488573313,1.96676785960621e-23,2.08493514166288e-21
gene-Farp1,NC_000080.7,+,31,8.66712026369837,2.26709416081809e-23,2.38376656763092e-21
gene-Cdc42bpb,NC_000078.7,-,43,6.5487713121455,2.40830395398811e-23,2.51182218039744e-21
gene-Srgap3,NC_000072.7,-,28,9.50736918800095,2.45283411337895e-23,2.5378002870664e-21
gene-Gbf1,NC_000085.7,+,41,6.77612663412575,3.1135421442313e-23,3.19582861518599e-21
gene-Crebbp,NC_000082.7,-,34,7.92802592172055,3.27509589630286e-23,3.33518230132952e-21
gene-Ubr3,NC_000068.8,+,45,6.27940530481456,3.45176981259914e-23,3.48763585830818e-21
gene-Eprs1,NC_000067.7,+,33,8.09159708719351,4.46530080455144e-23,4.47672366707471e-21
gene-Dnmt1,NC_000075.7,-,41,6.69722864592111,6.17144007024752e-23,6.13963341757778e-21
gene-Nav3,NC_000076.7,-,44,6.32249314616301,6.63431808746298e-23,6.54974319276021e-21
gene-Snap91,NC_000075.7,-,34,7.76853901565356,9.79118191977888e-23,9.59313301276517e-21
gene-Cdc42bpa,NC_000067.7,+,44,6.27932761715464,9.98819584523643e-23,9.71258171928141e-21
gene-Tmem131l,NC_000069.7,-,40,6.76734276285069,1.0745314803614e-22,1.03708325638164e-20
gene-Drosha,NC_000081.7,+,36,7.32650708243584,1.6615290912425e-22,1.59174486941032e-20
gene-Ptprf,NC_000070.7,-,39,6.83639204734332,1.9462747894738e-22,1.85082145972534e-20
gene-Cacna1b,NC_000068.8,-,57,5.12310307399236,1.97054769275883e-22,1.86022578908394e-20
gene-Nav1,NC_000067.7,-,37,7.12886842961426,2.11475777323174e-22,1.9818958174787e-20
gene-Spen,NC_000070.7,-,20,12.5612512705081,3.01230531496708e-22,2.8027442185949e-20
gene-Nf1,NC_000077.7,+,62,4.78933048354019,3.63313735857012e-22,3.35624038988481e-20
gene-Tenm3,NC_000074.7,-,37,7.03874873288791,4.24432408230297e-22,3.89303853591661e-20
gene-Gon4l,NC_000069.7,+,37,7.02661899048044,4.66267521094956e-22,4.24664637346554e-20
gene-Tenm4,NC_000073.7,+,37,6.99600531055913,5.91270702735229e-22,5.34748531361869e-20
gene-Gtf2i,NC_000071.7,-,45,5.98023966541938,6.40972122440738e-22,5.75673087467088e-20
gene-Sec16a,NC_000068.8,-,33,7.6753780100867,7.15459752986573e-22,6.38140757612093e-20
gene-Arhgef12,NC_000075.7,-,45,5.96707697280262,7.29600155333186e-22,6.46295808830418e-20
gene-Tanc2,NC_000077.7,+,30,8.31844575192164,8.25104429478629e-22,7.25923509282116e-20
gene-Dhx57,NC_000083.7,-,34,7.41662062705785,1.13229325275351e-21,9.89455989044674e-20
gene-Hcfc1,NC_000086.8,-,28,8.73656714771245,1.5445574020031e-21,1.34065509262457e-19
gene-Plxna2,NC_000067.7,+,36,7.02774965267076,1.56041286764579e-21,1.3453879744842e-19
gene-Ctnnb1,NC_000075.7,+,17,14.1789822863681,2.34491141409421e-21,2.0083933323497e-19
gene-Dclk1,NC_000069.7,+,31,7.90709856711159,2.44618064168705e-21,2.06819448862548e-19
gene-Kif5c,NC_000068.8,+,26,9.25941180876059,2.44671581813731e-21,2.06819448862548e-19
gene-Zfp462,NC_000070.7,+,23,10.3848873869516,2.60837745480983e-21,2.19052893656205e-19
gene-Ptpro,NC_000072.7,+,27,8.9142591509463,2.84911990458976e-21,2.37726888555222e-19
gene-Supt6,NC_000077.7,-,41,6.26010057547365,2.8700973064231e-21,2.37942105538269e-19
gene-Tenm2,NC_000077.7,-,37,6.78278959305218,3.12331666378452e-21,2.57285696896339e-19
gene-Usp24,NC_000070.7,+,72,4.20286258262519,3.51053812095255e-21,2.87353098216958e-19
gene-Ehbp1,NC_000077.7,-,32,7.6211046869176,3.92198509964972e-21,3.19012788011131e-19
gene-Ccar1,NC_000076.7,-,29,8.26595317582102,4.86191408162026e-21,3.92994592609968e-19
gene-Zzef1,NC_000077.7,+,65,4.46220712241044,5.08988702977361e-21,4.08866515255044e-19
gene-Numa1,NC_000073.7,+,31,7.78709111390195,5.20776496103479e-21,4.15753236055944e-19
gene-Cyfip2,NC_000077.7,-,33,7.38117246250067,5.26669430360994e-21,4.17878266433051e-19
gene-Mtor,NC_000070.7,+,60,4.69517757949448,5.78900938512517e-21,4.56519868157462e-19
gene-Ralgapa1,NC_000078.7,-,47,5.56809648918885,6.19965631034199e-21,4.85940333706987e-19
gene-Lrpprc,NC_000083.7,-,38,6.55044060638891,6.37674298373854e-21,4.96809741016208e-19
gene-Cntn1,NC_000081.7,+,28,8.42335328841648,8.70312361434188e-21,6.73996992241219e-19
gene-Rtn4,NC_000077.7,+,9,28.8536073951935,9.97945060542444e-21,7.68239492142585e-19
gene-Thoc2,NC_000086.8,-,42,6.00515017531406,1.02368315135628e-20,7.83390189141462e-19
gene-Nrxn1,NC_000083.7,-,30,7.89372788859906,1.06731777204217e-20,8.11977690930668e-19
gene-Dop1a,NC_000075.7,+,43,5.85727423580052,1.51244047807908e-20,1.14388261421033e-18
gene-Szt2,NC_000070.7,-,79,3.88919941785741,1.52397113528307e-20,1.1459022495707e-18
gene-Med13,NC_000077.7,-,30,7.81769086086323,1.69764211275313e-20,1.26911014128533e-18
gene-Med13l,NC_000071.7,+,35,6.85225242558513,1.92735007755273e-20,1.4325527904017e-18
gene-Chd3,NC_000077.7,-,48,5.3760757280588,1.94918313794413e-20,1.44050202988751e-18
gene-Elp1,NC_000070.7,-,41,6.04048454345271,2.03812306668256e-20,1.49767304667077e-18
gene-Nrxn2,NC_000085.7,+,25,9.09795792970793,2.76530248498825e-20,2.02054559538718e-18
gene-Mtcl2,NC_000068.8,-,16,14.2351652262911,3.35927367891292e-20,2.44075766794274e-18
gene-Utp20,NC_000076.7,-,62,4.46274099561873,3.73591016903889e-20,2.68744346105867e-18
gene-Ints1,NC_000071.7,-,50,5.16328617352443,3.74035276417352e-20,2.68744346105867e-18
gene-Lmbrd2,NC_000081.7,+,22,10.1388897741647,4.50090171143073e-20,3.21603104054882e-18
gene-Agrn,NC_000070.7,-,49,5.21994559398329,4.55573614879192e-20,3.23732613254538e-18
gene-Itpr1,NC_000072.7,+,65,4.29440914441025,6.27395685810615e-20,4.43393901890092e-18
gene-Lars1,NC_000084.7,-,32,7.19827453758651,6.47445530186734e-20,4.55076795755708e-18
gene-Plxnb2,NC_000081.7,-,43,5.68617713443171,7.69793753092682e-20,5.38148249121495e-18
gene-Cntnap2,NC_000072.7,+,27,8.29087216031606,7.90646023833566e-20,5.49754033668791e-18
gene-Strbp,NC_000068.8,-,33,6.94398621232367,1.0807675221929e-19,7.4746344195298e-18
gene-Trp53bp1,NC_000068.8,-,38,6.19257556012824,1.20574362720107e-19,8.29461826095287e-18
gene-Madd,NC_000068.8,-,41,5.813366238101,1.58160837454118e-19,1.08227201629318e-17
gene-Plxna1,NC_000072.7,-,32,7.04485826163624,1.8173727384068e-19,1.23705692767448e-17
gene-Pfkp,NC_000079.7,-,30,7.77328495713492,1.99337688070564e-19,1.34975618838566e-17
gene-Tenm1,NC_000086.8,-,37,6.23773534935351,2.38547132365587e-19,1.60683857441882e-17
gene-Tasor2,NC_000079.7,-,22,9.72164752363819,2.53262160821636e-19,1.69711892534001e-17
gene-Sf3b1,NC_000067.7,-,31,7.15756779424656,2.95707521044184e-19,1.97133266477548e-17
gene-Smarca4,NC_000075.7,+,40,5.83943604400596,3.29923455432416e-19,2.18815387133714e-17
gene-Tpp2,NC_000067.7,+,31,7.12133575462704,3.7455746674825e-19,2.47150597829343e-17
gene-Itsn1,NC_000082.7,+,44,5.40183726755816,4.92172306102049e-19,3.23109869787705e-17
gene-Osbpl9,NC_000070.7,-,28,7.68176135286267,5.81957377157634e-19,3.80123977716146e-17
gene-Mef2c,NC_000079.7,+,21,9.94678968980743,5.85046693334209e-19,3.80221552004589e-17
gene-Ncan,NC_000074.7,-,15,13.8331954568164,7.45420108182456e-19,4.82025912956185e-17
gene-Kdm5b,NC_000067.7,+,30,7.20297108866557,7.7232715844983e-19,4.96940653742868e-17
gene-Wdr7,NC_000084.7,+,30,7.19964326233114,7.88707880844675e-19,5.04968268463573e-17
gene-Dlg2,NC_000073.7,+,32,6.81797974261153,8.48472503017917e-19,5.40556398104962e-17
gene-Adcy1,NC_000077.7,+,20,10.3055158828005,8.96466243645596e-19,5.68333231817083e-17
gene-Cadps,NC_000080.7,+,36,6.15103561483898,1.35773869006063e-18,8.56567535539226e-17
gene-Trim2,NC_000069.7,-,26,8.02551257323579,1.38720428683861e-18,8.70908400081738e-17
gene-Nup155,NC_000081.7,+,37,6.00616974539479,1.55885549043575e-18,9.73945799893991e-17
gene-Tnc,NC_000070.7,-,27,7.7378451453525,1.64545129836686e-18,1.0231068097009e-16
gene-Atp2a2,NC_000071.7,-,23,8.88715639566807,1.82616001359e-18,1.13003480649567e-16
gene-Col4a2,NC_000074.7,+,48,4.9532850126419,1.91927876553263e-18,1.18200153688731e-16
gene-Hecw1,NC_000079.7,-,32,6.67855994758756,2.20605756464925e-18,1.35217736889141e-16
gene-Adgrb1,NC_000081.7,+,40,5.62427380415891,2.23539069204317e-18,1.36369376510351e-16
gene-Mapk8ip3,NC_000083.7,-,36,6.08003154372863,2.37928895931932e-18,1.44466404276417e-16
gene-Pgap1,NC_000067.7,-,27,7.64164298024116,2.81409962271454e-18,1.70068927198912e-16
gene-Fubp1,NC_000069.7,+,32,6.64225582893232,2.83233295924443e-18,1.70374707729806e-16
gene-Plxnb1,NC_000075.7,+,50,4.78157609583447,2.87888558137783e-18,1.72373274184998e-16
gene-Zfp704,NC_000069.7,-,9,23.5221149306794,3.29070964269778e-18,1.96123261792674e-16
gene-Nedd4,NC_000075.7,+,30,6.97119705615831,3.35931750268295e-18,1.99293822303663e-16
gene-Heatr1,NC_000079.7,+,45,5.12020831194972,3.58343299528333e-18,2.11618899214609e-16
gene-D430041D05Rik,NC_000068.8,-,25,8.08687612651008,4.19713188342118e-18,2.46734121128573e-16
gene-Prpf40a,NC_000068.8,-,29,7.10678404441777,4.89023201491149e-18,2.86178147732354e-16
gene-Mprip,NC_000077.7,+,33,6.38419991195742,5.70300105977795e-18,3.3223834552301e-16
gene-Tsc2,NC_000083.7,-,53,4.52431459869056,7.17868428374999e-18,4.16331497048155e-16
gene-Psme4,NC_000077.7,+,51,4.63978466872084,7.22908992297557e-18,4.17383124883228e-16
gene-Nup205,NC_000072.7,+,47,4.88581609450115,8.63201843890699e-18,4.96168419868374e-16
gene-Tln1,NC_000070.7,-,59,4.21019346878432,8.68102166473541e-18,4.96533588804857e-16
gene-Cic,NC_000073.7,+,25,7.94389743344455,8.71515693641867e-18,4.96533588804857e-16
gene-Megf8,NC_000073.7,+,41,5.3625084142552,9.85092674396717e-18,5.58780857805822e-16
gene-Canx,NC_000077.7,-,17,11.2969431496359,9.95768740596113e-18,5.62370180005656e-16
gene-Adgrl1,NC_000074.7,+,38,5.66339981339771,1.02257449831383e-17,5.74998086377944e-16
gene-Marchf6,NC_000081.7,-,27,7.39563109468098,1.12308471943674e-17,6.28781587726206e-16
gene-Uggt1,NC_000067.7,-,41,5.34140805697955,1.19768006475876e-17,6.67655011962289e-16
gene-Adgrl2,NC_000069.7,-,50,4.65745005517359,1.22362458176625e-17,6.77474754129895e-16
gene-Ppp1r9a,NC_000072.7,+,24,8.16071489593322,1.2257719977298e-17,6.77474754129895e-16
gene-Mical3,NC_000072.7,-,40,5.43380808702488,1.23517378039239e-17,6.79766063907012e-16
gene-Cabin1,NC_000076.7,-,45,4.98169221534616,1.48261072069186e-17,8.12483239436775e-16
gene-Wnk1,NC_000072.7,-,38,5.61464282366341,1.54801842110348e-17,8.44747773845203e-16
gene-Tmod2,NC_000075.7,-,10,19.5904879947084,1.65724825473506e-17,9.00554272205398e-16
gene-Dhx36,NC_000069.7,-,30,6.70649214199461,1.83840308087853e-17,9.94814520711383e-16
gene-Nup160,NC_000068.8,+,41,5.29054791819028,1.91961130051123e-17,1.03443053956299e-15
gene-Eif4g2,NC_000073.7,-,22,8.70273649269754,1.99511654968738e-17,1.07065735838618e-15
gene-Heatr5b,NC_000083.7,-,36,5.81051928903545,2.03564511372505e-17,1.08789248990934e-15
gene-Picalm,NC_000073.7,+,26,7.48402202475992,2.53891960327143e-17,1.35126943329668e-15
gene-Tet3,NC_000072.7,-,14,13.3398352362621,2.67761359336921e-17,1.41924494274771e-15
gene-Dop1b,NC_000082.7,+,43,5.07886541018483,2.74814216198344e-17,1.45068255432375e-15
gene-Zfp292,NC_000070.7,-,11,17.2539128218279,2.83795210546597e-17,1.49200140569071e-15
gene-Hspa4,NC_000077.7,-,19,9.83073138628545,3.12307707499978e-17,1.63525327169928e-15
gene-Scn2a,NC_000068.8,+,32,6.29422375164356,3.17973680840655e-17,1.65820710254524e-15
gene-Erbb4,NC_000067.7,-,33,6.1434024001117,3.24795987522513e-17,1.6869825327826e-15
gene-Setx,NC_000068.8,+,30,6.61237366933909,3.38250538601124e-17,1.74983768629133e-15
gene-Mki67,NC_000073.7,-,14,13.2193771792333,3.57022372972734e-17,1.83958978073959e-15
gene-Glg1,NC_000074.7,-,26,7.36135061856777,4.95911858744132e-17,2.54509050362613e-15
gene-Aak1,NC_000072.7,+,28,6.9207117757323,5.12227809457762e-17,2.61843567577756e-15
gene-Myo1b,NC_000067.7,-,34,5.93408755944352,5.53733809823332e-17,2.81946431592329e-15
gene-Gria2,NC_000069.7,-,33,6.1272221458467,5.98929737018231e-17,3.03763070151246e-15
gene-Ganab,NC_000085.7,+,27,7.08087807943441,6.76421063096572e-17,3.41724750352655e-15
gene-Eif4g3,NC_000070.7,+,44,4.9065388533364,6.93612669366314e-17,3.49046406728192e-15
gene-Ncam1,NC_000075.7,-,28,6.85727022118563,7.49720139052012e-17,3.7581901388991e-15
gene-Plxna4,NC_000072.7,-,32,6.15176646173115,8.65786534468713e-17,4.3232499035845e-15
gene-Rhot1,NC_000077.7,+,24,7.74846964943142,9.37792431239891e-17,4.66479596662519e-15
gene-Rb1cc1,NC_000067.7,+,32,6.13899433885917,9.47453466975636e-17,4.68636290992649e-15
gene-Tnks2,NC_000085.7,+,29,6.62927945080955,9.49375305343493e-17,4.68636290992649e-15
gene-Bahcc1,NC_000077.7,+,31,6.28606646448324,9.81329256261604e-17,4.82567728944157e-15
gene-Uba1,NC_000086.8,+,29,6.61660747250555,1.02809947945369e-16,5.03651915446005e-15
gene-Dnajc13,NC_000075.7,-,57,4.11566780152183,1.0323464371887e-16,5.03824017817416e-15
gene-Cad,NC_000071.7,+,47,4.64795864035129,1.12816055914171e-16,5.48515056818788e-15
gene-Ncoa6,NC_000068.8,-,15,11.8537132315215,1.24039572946801e-16,6.00825392105235e-15
gene-Sacs,NC_000080.7,+,15,11.8356023269274,1.30242556824479e-16,6.28517532616039e-15
gene-Supt16,NC_000080.7,-,26,7.16309041771401,1.47593337791364e-16,7.09600237046735e-15
gene-Mon2,NC_000076.7,-,41,5.05700887091488,1.69667502929242e-16,8.12707339031068e-15
gene-Nisch,NC_000080.7,-,28,6.67880609465709,2.20319238796938e-16,1.05143495031764e-14
gene-Nsd2,NC_000071.7,+,27,6.85520319852097,2.49366977397721e-16,1.18568497010468e-14
gene-Alcam,NC_000082.7,-,16,10.8699000504498,2.6371412062972e-16,1.24930942201618e-14
gene-Rbfox2,NC_000081.7,-,25,7.28080694283114,2.7645316538228e-16,1.30487911966753e-14
